,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.8,0.61,0.38,0.12,0.49,0.72,0.39,0.75,0.35,0.81,0.65,0.78,0.05,0.38,0.38
emulemorph.csv,0.21,0.14,0.06,0.2,0.09,0.06,0.0,0.0,0.0,0.31,0.13,0.09,0.0,0.0,0.1
fceugc.csv,0.75,0.58,0.52,0.11,0.57,0.51,0.2,0.6,0.14,0.63,0.55,0.5,0.07,0.37,0.33
gnukeda.csv,0.37,0.74,0.45,0.05,0.42,0.97,0.26,0.37,0.17,0.62,0.6,0.56,0.06,0.31,0.29
gusanos.csv,0.0,0.52,0.55,0.1,0.25,0.18,0.18,0.85,0.09,0.35,0.44,0.58,0.06,0.16,0.26
micomt.csv,0.62,0.7,0.47,0.12,0.6,0.47,0.69,0.75,0.1,0.75,0.71,0.62,0.05,0.4,0.33
modplug.csv,0.82,0.65,0.49,0.12,0.49,0.78,0.28,0.76,0.2,0.81,0.72,0.75,0.07,0.4,0.39
ogre.csv,0.56,0.66,0.34,0.07,0.42,0.97,0.29,0.49,0.19,0.59,0.51,0.64,0.0,0.31,0.31
openfrag.csv,0.83,0.62,0.54,0.1,0.52,0.27,0.37,0.67,0.2,0.71,0.77,0.73,0.05,0.48,0.34
oscarmcmaster.csv,0.72,0.52,0.41,0.1,0.53,0.15,0.25,0.51,0.22,0.42,0.57,0.63,0.07,0.4,0.35
pidgin.csv,0.79,0.59,0.54,0.09,0.4,0.5,0.31,0.67,0.24,0.63,0.57,0.51,0.05,0.37,0.37
repositorium.csv,0.0,0.38,0.06,0.09,0.4,0.77,0.0,0.55,0.43,0.41,0.61,0.36,0.07,0.25,0.23
unimrcp.csv,0.46,0.52,0.51,0.12,0.5,0.26,0.33,0.62,0.04,0.6,0.54,0.53,0.06,0.41,0.3
xapian.csv,0.73,0.72,0.24,0.13,0.55,0.6,0.61,0.44,0.19,0.77,0.68,0.74,0.05,0.49,0.34
xqilla.csv,0.28,0.34,0.11,0.14,0.31,0.48,0.1,0.06,0.11,0.48,0.3,0.29,0.46,0.18,0.21
