,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,0.7,0.62,0.32,0.57,0.74,0.25,0.68,0.93,0.37,0.62,0.75,0.29,0.97,0.82,0.64
emulemorph.csv,0.12,0.03,0.05,0.29,0.02,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.03,0.0,0.06
fceugc.csv,0.42,0.31,0.41,0.6,0.28,0.5,0.24,0.28,0.62,0.58,0.3,0.53,0.72,0.35,0.7
gnukeda.csv,0.27,0.28,0.55,0.71,0.93,0.0,0.93,0.14,0.88,0.88,0.92,0.91,0.76,0.58,0.78
gusanos.csv,0.0,0.28,0.42,0.33,0.16,0.25,0.63,0.24,0.12,0.25,0.04,0.64,0.82,0.1,0.37
micomt.csv,0.19,0.69,0.34,0.67,0.53,0.5,0.17,0.55,0.74,0.71,0.36,0.6,0.97,0.67,0.74
modplug.csv,0.94,0.97,0.51,0.84,0.81,1.0,0.61,0.76,0.81,0.17,0.75,0.71,0.73,0.39,0.74
ogre.csv,0.55,0.25,0.77,0.48,0.74,0.0,0.49,0.38,0.78,0.38,0.85,0.78,0.26,0.68,0.77
openfrag.csv,0.97,0.5,0.15,0.67,0.37,1.0,0.22,0.41,0.49,0.21,0.23,0.25,0.97,0.24,0.59
oscarmcmaster.csv,0.31,0.28,0.11,0.71,0.35,0.0,0.63,0.21,0.15,0.5,0.11,0.4,0.72,0.16,0.37
pidgin.csv,0.31,0.34,0.36,0.36,0.16,1.0,0.61,0.21,0.29,0.42,0.26,0.55,0.62,0.25,0.49
repositorium.csv,0.0,0.38,0.04,0.14,0.53,0.5,0.08,0.76,0.21,0.75,0.98,0.45,0.73,0.65,0.34
unimrcp.csv,0.19,0.22,0.38,0.38,0.35,0.5,0.03,0.38,0.44,0.54,0.17,0.36,0.81,0.23,0.46
xapian.csv,0.69,0.84,0.61,0.76,0.37,1.0,0.05,0.48,0.55,0.29,0.75,0.47,1.0,0.19,0.61
xqilla.csv,0.16,0.16,0.12,0.47,0.4,0.5,0.78,0.1,0.66,0.62,0.26,0.47,0.06,0.51,0.44
