,dsworkbench.csv,adonthell.csv,yarp0.csv,pokenetonline.csv,foursquared.csv,t-2.csv,avisynth2.csv,jgossipforum.csv,madman.csv,geotools.csv,gephex.csv,bigdata.csv,wsmt.csv,qmmp.csv,simplewebservices.csv,rcp-company-uibindings.csv,jfreechart.csv
adonthell.csv,0.58,0.98,0.62,0.65,0.38,0.8,0.0,0.8,0.62,0.6,0.58,0.43,0.69,0.37,0.72,0.42,1.0
avisynth2.csv,0.02,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
bigdata.csv,0.2,0.9,1.0,0.4,0.46,0.74,1.0,1.0,1.0,0.26,0.89,0.99,0.49,0.89,0.9,0.29,1.0
dsworkbench.csv,0.98,0.03,0.44,0.58,0.46,0.28,0.33,0.2,0.12,0.45,0.13,0.31,0.2,0.06,0.32,0.33,1.0
foursquared.csv,0.44,0.2,0.19,0.15,0.96,0.34,0.0,0.4,0.25,0.4,0.11,0.28,0.06,0.05,0.05,0.26,0.0
geotools.csv,0.34,0.32,0.44,0.27,0.5,0.51,0.67,0.4,0.75,0.98,0.39,0.34,0.26,0.29,0.1,0.34,1.0
gephex.csv,0.82,0.57,0.56,0.72,0.42,0.52,0.67,0.6,0.62,0.54,0.97,0.57,0.23,0.73,0.66,0.45,1.0
jgossipforum.csv,0.06,0.0,0.06,0.02,0.08,0.02,0.0,0.8,0.0,0.0,0.01,0.0,0.2,0.0,0.0,0.01,0.0
madman.csv,0.0,0.03,0.0,0.02,0.58,0.19,0.0,0.0,0.88,0.02,0.06,0.05,0.09,0.05,0.0,0.34,0.0
pokenetonline.csv,0.76,0.45,0.75,0.97,0.88,0.66,1.0,0.6,0.62,0.79,0.59,0.76,0.46,0.67,0.49,0.58,1.0
qmmp.csv,0.56,0.6,0.75,0.72,0.92,0.86,0.67,0.2,1.0,0.8,0.54,0.63,0.63,0.94,0.72,0.72,1.0
rcp-company-uibindings.csv,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.96,0.85,1.0,1.0,0.96,1.0,1.0
simplewebservices.csv,0.44,0.32,0.38,0.52,0.38,0.46,0.33,1.0,0.0,0.36,0.39,0.61,0.34,0.3,0.98,0.49,1.0
t-2.csv,0.82,0.8,0.69,0.53,0.54,0.91,0.33,0.8,0.25,0.42,0.62,0.49,0.37,0.51,0.35,0.62,1.0
wsmt.csv,0.18,0.4,0.31,0.17,0.04,0.1,0.67,0.6,0.38,0.22,0.23,0.37,0.97,0.43,0.13,0.11,0.0
yarp0.csv,0.54,0.07,1.0,0.65,0.46,0.68,0.33,1.0,0.25,0.64,0.27,0.79,0.46,0.1,0.48,0.7,1.0
