,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,1.0,0.63,0.66,0.49,0.52,0.55,0.91,0.46,0.6,0.76
fritzing.csv,0.56,0.43,0.39,0.51,0.46,0.55,0.8,0.72,0.55,0.53
jlinalg.csv,0.21,0.69,0.91,0.71,0.52,0.44,0.92,0.81,0.63,0.82
knowledge.csv,0.26,0.74,0.72,0.85,0.16,0.7,0.86,0.65,0.53,0.61
massiv.csv,0.86,0.68,0.66,1.0,1.0,0.03,1.0,0.46,1.0,0.81
oscarmcmaster.csv,0.64,0.75,0.76,0.47,0.37,0.59,0.9,0.6,0.76,0.54
playerstage.csv,0.44,0.53,0.53,0.35,0.49,0.64,0.9,0.69,0.7,0.55
quarkplusplus.csv,0.6,0.69,0.8,0.55,0.39,0.34,0.91,0.88,0.47,0.71
rtrt-on-gpu.csv,0.71,0.73,0.87,0.89,0.75,0.87,0.45,0.86,0.93,0.82
superwaba.csv,0.66,0.38,0.53,0.52,0.52,0.52,0.76,0.62,0.73,0.7
