,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.12,0.5,0.59,0.77,0.06,0.62,0.53,0.11,0.69,0.3,1.0,0.9,0.25,0.58,0.1
calcubetimer.csv,0.62,0.03,1.0,0.13,0.89,1.0,1.0,0.84,0.13,0.23,0.67,0.28,0.29,0.53,0.99
chaosrts.csv,0.31,0.0,0.82,0.43,0.61,1.0,0.65,0.45,0.62,0.37,0.33,0.12,0.76,0.74,0.21
emono.csv,0.75,0.23,0.82,0.7,0.72,0.81,0.53,0.91,0.92,0.66,0.33,0.82,0.84,1.0,0.76
freelords.csv,0.84,0.93,0.91,0.68,0.83,0.65,0.9,0.59,0.85,0.84,0.67,0.57,0.86,0.89,0.84
jmonkeyengine.csv,0.31,0.77,0.18,0.51,0.56,0.0,0.84,0.11,0.13,0.86,1.0,0.78,0.27,0.89,0.84
jython.csv,0.84,0.87,0.86,0.97,0.67,0.16,0.84,0.39,0.95,0.77,0.67,0.78,0.96,0.32,0.79
mclient-mume.csv,0.12,0.87,0.45,0.14,0.39,0.0,0.75,0.11,0.41,0.63,0.67,0.3,0.4,0.42,0.29
papertoolkit.csv,0.25,0.03,0.55,0.11,0.11,0.11,0.45,0.16,0.08,0.14,1.0,0.1,0.07,0.0,0.29
primefaces.csv,0.81,1.0,1.0,0.59,1.0,1.0,1.0,0.79,0.72,0.98,1.0,0.78,0.94,0.89,1.0
st-filteredstatistics.csv,0.72,0.97,1.0,0.91,0.67,1.0,0.9,0.77,0.79,0.94,0.67,0.95,0.99,1.0,0.99
toped.csv,0.97,0.47,0.86,0.61,0.78,0.62,0.8,0.98,0.92,0.58,0.67,0.88,0.96,1.0,0.79
triplea.csv,0.75,0.73,0.5,0.54,0.44,0.57,0.63,0.8,0.92,0.5,0.67,0.78,0.92,1.0,0.51
web-cat.csv,0.81,0.3,0.23,0.37,0.72,0.41,0.49,0.48,0.38,0.71,0.67,0.45,0.98,0.68,0.86
