,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.14,0.52,0.63,0.47,0.07,0.64,0.57,0.12,0.59,0.35,0.73,0.17,0.29,0.48,0.12
calcubetimer.csv,0.59,0.04,0.0,0.16,0.53,0.0,0.0,0.87,0.16,0.27,0.68,0.31,0.33,0.51,0.09
chaosrts.csv,0.35,0.0,0.0,0.48,0.61,0.0,0.59,0.46,0.63,0.42,0.38,0.15,0.77,0.64,0.25
emono.csv,0.69,0.26,0.83,0.39,0.51,0.48,0.57,0.6,0.0,0.71,0.35,0.36,0.2,0.24,0.72
freelords.csv,0.61,0.68,0.2,0.69,0.58,0.62,0.56,0.62,0.73,0.0,0.48,0.54,0.71,0.57,0.2
jmonkeyengine.csv,0.34,0.73,0.22,0.42,0.59,0.0,0.76,0.12,0.16,0.0,0.87,0.66,0.31,0.71,0.34
jython.csv,0.5,0.37,0.86,0.17,0.52,0.19,0.36,0.44,0.0,0.0,0.58,0.42,0.0,0.35,0.65
mclient-mume.csv,0.14,0.87,0.41,0.17,0.43,0.0,0.7,0.13,0.45,0.0,0.67,0.34,0.45,0.46,0.33
papertoolkit.csv,0.29,0.04,0.6,0.13,0.13,0.13,0.51,0.19,0.1,0.17,0.96,0.12,0.09,0.0,0.33
primefaces.csv,0.55,0.0,0.0,0.6,0.24,0.0,0.0,0.55,0.5,0.0,0.09,0.77,0.37,0.57,0.0
st-filteredstatistics.csv,0.51,0.0,0.05,0.5,0.49,0.47,0.37,0.54,0.8,0.0,0.54,0.27,0.21,0.0,0.09
toped.csv,0.35,0.43,0.09,0.55,0.49,0.52,0.83,0.0,0.3,0.0,0.46,0.45,0.0,0.0,0.65
triplea.csv,0.72,0.73,0.55,0.52,0.47,0.58,0.61,0.56,0.66,0.56,0.64,0.59,0.21,0.24,0.54
web-cat.csv,0.63,0.34,0.27,0.4,0.59,0.44,0.53,0.41,0.42,0.0,0.5,0.46,0.21,0.7,0.5
