,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.52,0.98,0.58,0.55,0.43
empyrean.csv,0.99,0.61,0.63,0.71,0.09
mplayer-ce.csv,0.29,0.2,0.63,0.47,0.96
nutz.csv,0.39,0.25,0.97,0.43,0.39
yafdotnet.csv,0.47,0.48,0.66,0.97,0.58
