,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.65,1.0,0.47,0.5,0.54
empyrean.csv,0.97,0.5,0.45,0.54,0.44
mplayer-ce.csv,0.63,0.42,0.3,0.4,0.99
nutz.csv,0.65,0.55,1.0,0.64,0.52
yafdotnet.csv,0.67,0.62,0.39,0.99,0.47
