,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.56,0.4,0.48,0.83,0.58,0.92,0.53,0.43,0.83,0.43,0.49,0.61
e-bio-flow.csv,0.44,0.46,0.43,0.46,0.39,0.67,0.58,0.38,0.75,0.42,0.43,0.53
freedom-erp.csv,0.59,0.97,0.54,0.91,0.36,0.95,0.64,0.61,0.61,0.0,0.76,0.83
jbasic.csv,0.38,0.5,0.4,0.49,0.33,0.43,0.48,0.42,0.36,0.7,0.52,0.38
jgossipforum.csv,0.48,0.45,0.5,0.52,0.83,0.95,0.8,0.39,0.6,0.41,0.85,0.86
joustsim.csv,0.92,0.42,0.62,0.45,0.88,0.7,0.67,0.46,0.45,0.41,0.53,0.47
jsidplay2.csv,0.39,0.4,0.37,0.46,0.31,0.91,0.52,0.39,0.34,0.43,0.37,0.4
madman.csv,0.67,0.82,0.85,0.94,0.95,0.88,0.55,0.47,0.75,0.53,0.97,0.95
mule.csv,0.5,0.42,0.37,0.82,0.3,0.96,0.5,0.6,0.46,0.8,0.71,0.55
nunit.csv,0.68,0.8,0.43,0.48,0.94,0.58,0.78,0.62,0.92,0.66,0.6,0.6
power-architect.csv,0.61,0.41,0.43,0.63,0.43,0.59,0.58,0.56,0.43,0.42,0.47,0.4
reaper3d.csv,0.44,0.82,0.52,0.55,0.36,0.55,0.89,0.69,0.45,0.53,0.54,0.54
