,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.5,0.73,0.51,0.27,0.53,0.11,0.29,0.26,0.3,0.14,0.84,0.4
e-bio-flow.csv,0.75,0.61,0.68,0.72,0.68,0.0,0.35,0.26,0.43,0.15,0.79,0.43
freedom-erp.csv,0.6,0.27,0.45,0.3,0.76,0.0,0.27,0.23,0.33,0.0,0.35,0.13
jbasic.csv,0.8,0.63,0.51,0.72,0.74,0.06,0.33,0.26,0.85,0.16,0.58,0.37
jgossipforum.csv,0.52,0.55,0.4,0.57,0.06,0.37,0.5,0.39,0.32,0.18,0.32,0.44
joustsim.csv,0.28,0.68,0.27,0.67,0.13,0.13,0.77,0.33,0.68,0.14,0.63,0.37
jsidplay2.csv,0.87,0.71,0.51,0.67,0.74,0.04,0.26,0.28,0.85,0.16,0.71,0.26
madman.csv,0.45,0.34,0.32,0.25,0.26,0.03,0.35,0.59,0.14,0.24,0.19,0.03
mule.csv,0.49,0.71,0.44,0.28,0.78,0.0,0.32,0.16,0.49,0.31,0.34,0.52
nunit.csv,0.49,0.35,0.44,0.59,0.21,0.08,0.19,0.1,0.36,0.22,0.62,0.46
power-architect.csv,0.6,0.66,0.46,0.31,0.58,0.02,0.27,0.12,0.86,0.12,0.77,0.37
reaper3d.csv,0.69,0.32,0.44,0.54,0.68,0.08,0.3,0.08,0.51,0.27,0.55,0.29
