,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.06,0.93,0.41,0.08
n2cms.csv,0.96,0.57,0.41,0.75
nassp.csv,0.15,0.36,0.24,0.92
nug.csv,0.52,0.07,0.94,0.42
