,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.07,0.94,0.46,0.1
n2cms.csv,0.97,0.61,0.41,0.63
nassp.csv,0.18,0.41,0.28,0.93
nug.csv,0.54,0.09,0.95,0.46
