,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,41.0,0.0,5.0,0.0,2.0,4.0,0.0,0.0,3.0,8.0,106.0,0.0,19.0,5.0,33.0,2.0,1.0
encog-cs.csv,67.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,319.0,0.0,62.0,2.0,17.0,4.0,1.0
extprosys.csv,63.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,15.0,6.0,303.0,0.0,21.0,2.0,15.0,8.0,0.0
ibatisdb.csv,104.0,0.0,13.0,0.0,2.0,2.0,0.0,0.0,1.0,13.0,91.0,0.0,1.0,1.0,0.0,3.0,0.0
intact.csv,104.0,0.0,9.0,1.0,4.0,0.0,0.0,0.0,2.0,13.0,196.0,0.0,62.0,1.0,15.0,3.0,2.0
japano.csv,78.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,16.0,309.0,0.0,17.0,5.0,15.0,6.0,1.0
lockss.csv,104.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,62.0,4.0,2.0,1.0,0.0
ofbiz.csv,104.0,0.0,1.0,0.0,6.0,7.0,0.0,0.0,3.0,5.0,92.0,0.0,62.0,0.0,11.0,0.0,2.0
officefloor.csv,104.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,19.0,2.0,17.0,4.0,1.0
opennms.csv,104.0,1.0,186.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,34.0,0.0,62.0,0.0,8.0,3.0,49.0
papertoolkit.csv,104.0,1.0,0.0,116.0,104.0,102.0,49.0,133.0,183.0,113.0,1376.0,0.0,0.0,297.0,140.0,61.0,49.0
rohxel.csv,62.0,0.0,12.0,1.0,4.0,1.0,0.0,0.0,10.0,5.0,312.0,0.0,19.0,2.0,16.0,3.0,1.0
sevenupdate.csv,78.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,16.0,2.0,323.0,0.0,18.0,2.0,17.0,1.0,2.0
web-cat.csv,104.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,3.0,20.0,298.0,0.0,7.0,7.0,8.0,1.0,0.0
xcf.csv,104.0,0.0,5.0,0.0,11.0,3.0,0.0,0.0,1.0,19.0,134.0,0.0,6.0,3.0,3.0,0.0,6.0
