,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.59,0.92,0.56,0.07,0.61,0.72,0.46,0.94,0.57,0.72,0.68,1.02,0.93,0.89,0.74,0.79,0.85
encog-cs.csv,0.77,0.7,0.84,0.91,0.85,0.74,0.93,0.73,0.03,0.81,0.94,0.07,1.29,0.78,0.68,0.86,0.62
extprosys.csv,0.74,0.53,0.02,0.88,0.88,0.87,0.86,0.81,0.86,0.87,0.8,1.02,0.98,0.88,0.79,0.85,0.69
ibatisdb.csv,1.0,0.85,0.89,0.77,0.71,0.73,0.82,0.84,0.92,0.68,0.85,1.28,0.67,0.89,0.03,0.79,0.76
intact.csv,1.13,0.95,0.8,0.67,0.79,0.1,0.7,0.68,0.86,0.91,0.59,0.84,1.02,0.75,0.98,0.74,0.95
japano.csv,0.97,1.0,0.76,1.01,0.92,0.93,0.75,0.0,0.57,0.88,0.98,0.06,0.9,0.86,0.93,0.71,0.95
lockss.csv,1.01,0.96,1.0,0.98,0.93,0.94,0.87,0.94,0.94,0.05,0.98,0.97,1.0,0.94,0.92,0.91,0.95
ofbiz.csv,1.05,0.67,0.67,0.83,0.82,0.78,0.97,0.93,0.83,0.78,0.78,0.71,1.0,0.02,0.52,0.7,0.55
officefloor.csv,1.0,0.58,0.84,0.94,0.74,0.69,0.93,0.79,0.9,0.9,0.05,1.04,0.61,0.97,0.88,0.94,0.83
opennms.csv,1.03,0.89,1.0,0.82,0.11,0.9,0.67,0.8,0.83,0.83,0.87,0.93,1.02,0.89,0.95,0.95,1.0
papertoolkit.csv,1.0,0.97,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.0,1.0,1.0,1.0,1.0
rohxel.csv,0.82,0.7,0.78,0.87,0.83,0.48,0.03,0.59,0.58,0.84,0.91,1.05,0.82,0.73,0.78,0.68,0.73
sevenupdate.csv,0.97,0.0,1.0,1.01,0.78,0.91,0.6,0.95,0.98,0.72,0.96,1.0,0.93,0.89,1.02,0.79,0.91
web-cat.csv,1.02,0.65,0.82,0.84,0.8,0.86,0.87,0.68,0.81,0.96,0.98,1.21,0.71,0.96,0.88,0.82,0.0
xcf.csv,1.15,0.73,0.63,0.77,0.77,0.67,0.71,0.58,0.63,0.7,0.6,1.1,0.38,0.64,0.57,0.03,0.72
