,net-snmp.csv,fontforge.csv,k3d.csv,patterntesting.csv,massiv.csv,t-2.csv,xreal.csv
fontforge.csv,0.29,0.98,0.06,0.12,0.04,0.32,0.08
k3d.csv,0.17,0.0,0.98,0.06,0.06,0.0,0.0
massiv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0
net-snmp.csv,0.98,0.58,0.22,0.52,0.0,0.25,0.05
patterntesting.csv,0.54,0.08,0.37,0.97,0.04,0.25,0.08
t-2.csv,0.59,0.6,0.28,0.4,0.02,0.96,0.06
xreal.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0
