,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.11,0.77,0.47,0.49,0.72,0.01,0.43,0.98,0.5,0.41,0.45,0.5,0.75
echongl.csv,0.12,0.81,0.27,0.28,0.92,0.01,0.45,0.95,0.57,0.73,0.38,0.26,1.0
les-indemodables.csv,0.12,0.82,0.31,0.29,0.74,0.01,0.42,0.97,0.45,0.54,0.64,0.41,0.81
mbse.csv,0.15,0.77,0.28,0.37,0.6,0.0,0.44,0.93,0.56,0.51,0.5,0.44,0.85
ns-3-dev-def-routing.csv,0.11,0.77,0.28,0.25,0.92,0.02,0.54,0.94,0.43,0.42,0.7,0.33,0.71
psycle.csv,0.12,0.82,0.34,0.27,0.71,0.01,0.44,0.96,0.46,0.38,0.42,0.39,0.79
qpe.csv,0.17,0.88,0.38,0.34,0.96,0.0,0.44,0.97,0.55,0.38,0.39,0.58,0.87
simplewebservices.csv,0.07,0.68,0.26,0.25,0.72,0.01,0.41,0.94,0.46,0.36,0.59,0.41,0.73
v8.csv,0.08,0.56,0.27,0.27,0.72,0.0,0.38,0.99,0.5,0.27,0.43,0.15,0.71
wikipediardware.csv,0.13,0.81,0.3,0.25,0.72,0.01,0.4,0.96,0.57,0.4,0.41,0.4,0.91
wxstudio.csv,0.1,0.68,0.23,0.22,0.59,0.01,0.43,0.93,0.67,0.29,0.5,0.46,0.74
xamj.csv,0.11,0.74,0.3,0.25,0.79,0.02,0.39,0.93,0.47,0.36,0.44,0.57,0.81
