,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.23,0.33,0.35,0.31,0.2,0.2,0.39,0.46,0.29,0.21,0.4,0.32,0.16,0.38,0.38,0.4
bdbbasic.csv,0.25,0.22,0.23,0.15,0.19,0.25,0.12,0.12,0.18,0.28,0.15,0.19,0.18,0.16,0.18,0.31
crux-framework.csv,0.25,0.17,0.27,0.24,0.2,0.37,0.36,0.21,0.34,0.21,0.31,0.18,0.27,0.27,0.13,0.31
echongl.csv,0.21,0.29,0.39,0.28,0.34,0.23,0.17,0.15,0.22,0.24,0.22,0.23,0.27,0.21,0.39,0.34
etherboot.csv,0.42,0.15,0.39,0.44,0.24,0.39,0.39,0.46,0.18,0.29,0.25,0.32,0.44,0.39,0.23,0.4
freebios.csv,0.38,0.27,0.28,0.37,0.39,0.44,0.33,0.45,0.38,0.24,0.31,0.29,0.38,0.35,0.36,0.34
gebr.csv,0.37,0.38,0.33,0.35,0.33,0.47,0.38,0.24,0.4,0.29,0.32,0.31,0.34,0.34,0.42,0.41
gnukeda.csv,0.38,0.2,0.3,0.3,0.24,0.11,0.2,0.14,0.4,0.23,0.39,0.21,0.41,0.38,0.34,0.4
google-gears.csv,0.25,0.21,0.27,0.17,0.3,0.45,0.26,0.32,0.32,0.28,0.34,0.26,0.28,0.22,0.29,0.41
gstreamer.csv,0.26,0.37,0.32,0.23,0.3,0.38,0.29,0.19,0.31,0.27,0.3,0.27,0.26,0.21,0.41,0.41
jnode.csv,0.4,0.19,0.17,0.2,0.24,0.5,0.28,0.4,0.16,0.27,0.39,0.3,0.31,0.38,0.18,0.38
metacosm.csv,0.14,0.27,0.2,0.18,0.14,0.15,0.18,0.16,0.29,0.25,0.21,0.23,0.13,0.15,0.19,0.19
openmeetings.csv,0.14,0.17,0.2,0.1,0.24,0.14,0.34,0.15,0.15,0.23,0.2,0.17,0.17,0.14,0.16,0.17
pgui.csv,0.3,0.38,0.39,0.27,0.33,0.27,0.3,0.33,0.34,0.28,0.24,0.29,0.3,0.39,0.42,0.41
tradelink.csv,0.28,0.22,0.27,0.23,0.18,0.29,0.29,0.24,0.22,0.25,0.34,0.25,0.18,0.31,0.29,0.36
wxcrp.csv,0.15,0.38,0.39,0.34,0.41,0.49,0.34,0.46,0.31,0.28,0.39,0.31,0.29,0.34,0.38,0.41
