,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.78,0.73,0.9,0.49,0.73,0.72,0.2,0.64,0.86,0.66,0.76
gstreamer.csv,0.45,0.44,0.55,0.48,0.56,0.74,0.64,0.58,0.54,0.04,0.69
ktc.csv,0.04,0.6,0.61,0.6,0.85,0.8,0.72,0.55,0.7,0.7,0.66
mbse.csv,0.7,0.8,0.06,0.71,0.67,0.42,0.92,0.67,0.78,0.77,0.6
nebuladevice.csv,0.66,0.84,0.86,0.99,0.84,0.91,0.95,0.86,0.07,0.91,0.72
neoengine.csv,0.63,0.06,0.62,0.72,0.66,0.78,0.85,0.53,0.54,0.61,0.5
openmalaria.csv,0.41,0.54,0.72,0.02,0.57,0.71,0.37,0.54,0.62,0.54,0.62
rtrt-on-gpu.csv,0.61,0.66,0.53,0.74,0.61,0.1,0.91,0.52,0.6,0.69,0.81
salasaga.csv,0.9,0.86,0.87,0.97,0.91,0.88,0.91,0.07,0.9,0.91,0.8
skia.csv,0.82,0.57,0.67,0.88,0.68,0.61,0.74,0.62,0.66,0.78,0.05
xemeiah.csv,0.39,0.54,0.59,0.81,0.06,0.82,0.88,0.43,0.66,0.63,0.62
