,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.56,0.6,0.37,0.74,0.57,0.55,0.95,0.66,0.44,0.63,0.58
gstreamer.csv,0.73,0.65,0.73,0.72,0.63,0.34,0.46,0.73,0.65,0.97,0.52
ktc.csv,0.97,0.5,0.45,0.49,0.19,0.24,0.34,0.54,0.37,0.36,0.43
mbse.csv,0.59,0.51,0.95,0.54,0.63,0.64,0.36,0.64,0.54,0.44,0.59
nebuladevice.csv,0.41,0.2,0.17,0.06,0.21,0.23,0.06,0.17,0.94,0.11,0.34
neoengine.csv,0.61,0.95,0.61,0.55,0.57,0.56,0.48,0.59,0.68,0.66,0.68
openmalaria.csv,0.77,0.69,0.64,0.98,0.65,0.55,0.73,0.69,0.67,0.68,0.65
rtrt-on-gpu.csv,0.47,0.43,0.66,0.33,0.49,0.91,0.4,0.7,0.59,0.37,0.26
salasaga.csv,0.41,0.46,0.45,0.23,0.41,0.43,0.37,0.94,0.4,0.42,0.51
skia.csv,0.24,0.51,0.42,0.17,0.38,0.45,0.37,0.44,0.49,0.28,0.96
xemeiah.csv,0.69,0.55,0.52,0.23,0.95,0.24,0.39,0.64,0.44,0.48,0.54
