,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.59,0.54,0.4,0.69,0.55,0.27,0.97,0.31,0.3,0.69,0.5
gstreamer.csv,0.66,0.62,0.49,0.67,0.6,0.24,0.57,0.35,0.36,0.98,0.41
ktc.csv,0.98,0.49,0.45,0.51,0.24,0.27,0.45,0.36,0.29,0.45,0.41
mbse.csv,0.53,0.44,0.95,0.51,0.61,0.55,0.75,0.29,0.27,0.48,0.48
nebuladevice.csv,0.46,0.25,0.24,0.07,0.26,0.12,0.09,0.22,0.97,0.17,0.37
neoengine.csv,0.54,0.97,0.41,0.53,0.54,0.3,0.69,0.34,0.37,0.7,0.56
openmalaria.csv,0.69,0.59,0.45,0.99,0.62,0.27,0.81,0.34,0.35,0.71,0.52
rtrt-on-gpu.csv,0.49,0.44,0.46,0.37,0.51,0.9,0.7,0.35,0.32,0.45,0.26
salasaga.csv,0.48,0.45,0.31,0.52,0.49,0.27,0.77,0.96,0.25,0.52,0.41
skia.csv,0.28,0.52,0.35,0.2,0.46,0.4,0.47,0.37,0.29,0.35,0.96
xemeiah.csv,0.68,0.54,0.41,0.31,0.97,0.2,0.52,0.48,0.3,0.53,0.45
