,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.9,0.8,0.94,0.81,0.66,0.6,0.99,0.79,0.87,0.75,0.83
gstreamer.csv,0.77,0.63,0.85,0.76,0.66,0.3,0.42,0.89,0.67,0.97,0.52
ktc.csv,0.97,0.46,0.4,0.45,0.16,0.2,0.3,0.5,0.33,0.31,0.39
mbse.csv,0.69,0.62,0.94,0.57,0.75,0.6,0.73,0.79,0.67,0.43,0.61
nebuladevice.csv,0.36,0.17,0.14,0.05,0.18,0.2,0.05,0.14,0.93,0.09,0.3
neoengine.csv,0.65,0.94,0.66,0.62,0.6,0.8,0.63,0.57,0.73,0.77,0.7
openmalaria.csv,0.81,0.74,0.91,0.98,0.7,0.6,0.72,0.75,0.8,0.74,0.74
rtrt-on-gpu.csv,0.43,0.39,0.69,0.29,0.46,0.9,0.65,0.75,0.6,0.33,0.22
salasaga.csv,0.71,0.68,0.62,0.76,0.64,0.8,0.75,0.93,0.73,0.56,0.61
skia.csv,0.2,0.47,0.38,0.14,0.33,0.4,0.33,0.39,0.47,0.24,0.96
xemeiah.csv,0.66,0.52,0.48,0.19,0.94,0.2,0.4,0.61,0.4,0.44,0.52
