,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.78,0.7,0.89,0.45,0.64,0.6,0.2,0.6,0.85,0.61,0.74
gstreamer.csv,0.38,0.24,0.53,0.41,0.45,0.25,0.28,0.57,0.42,0.02,0.5
ktc.csv,0.01,0.26,0.13,0.25,0.15,0.06,0.2,0.22,0.2,0.12,0.26
mbse.csv,0.62,0.7,0.02,0.57,0.62,0.12,0.88,0.64,0.7,0.51,0.46
nebuladevice.csv,0.12,0.12,0.01,0.27,0.15,0.44,0.04,0.03,0.0,0.01,0.17
neoengine.csv,0.52,0.0,0.53,0.61,0.53,0.75,0.76,0.31,0.46,0.57,0.39
openmalaria.csv,0.36,0.47,0.71,0.0,0.49,0.58,0.24,0.48,0.59,0.48,0.57
rtrt-on-gpu.csv,0.21,0.25,0.43,0.2,0.29,0.02,0.84,0.45,0.45,0.19,0.22
salasaga.csv,0.85,0.8,0.78,0.94,0.83,0.85,0.88,0.0,0.86,0.79,0.7
skia.csv,0.16,0.22,0.27,0.22,0.09,0.12,0.32,0.13,0.38,0.17,0.02
xemeiah.csv,0.18,0.25,0.27,0.04,0.0,0.17,0.64,0.17,0.27,0.28,0.39
