,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.56,0.63,0.78,0.57,0.83,0.66,0.68,0.84,0.72,0.54,0.79,0.66,0.89,0.67,0.89,0.05,0.48,0.62,0.38,0.66
galaxium.csv,0.53,0.59,0.56,0.76,0.8,0.82,0.83,0.78,0.75,0.73,0.62,0.64,0.03,0.86,0.73,0.89,0.82,0.71,0.53,0.92
itext.csv,0.88,0.56,0.77,0.72,0.86,0.82,0.75,0.78,0.82,0.59,0.76,0.67,0.6,0.0,0.48,0.69,0.52,0.54,1.01,0.83
jahshakafx.csv,0.01,0.55,0.83,0.8,0.77,0.86,0.64,0.79,0.75,0.64,0.58,0.64,0.74,0.69,0.72,0.76,0.52,0.68,0.78,0.9
kolmafia.csv,0.51,0.51,0.58,0.56,0.76,0.7,0.85,0.79,0.79,0.67,0.6,0.57,0.45,0.43,0.58,0.61,0.59,0.04,1.02,0.74
mecat.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.99,1.0,0.0,1.0,1.0,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.94,0.77,0.91,1.03,0.68,0.69,0.86,0.68,0.78,0.76,0.8,0.01,0.64,0.69,0.51,0.78,0.41,0.76,1.03,0.7
mptvseries.csv,0.55,0.74,0.39,0.42,0.86,0.65,0.71,0.76,0.11,0.68,0.5,0.67,0.59,0.81,0.42,0.87,0.35,0.73,0.52,0.87
novembre.csv,0.54,0.52,0.48,0.8,0.76,0.81,0.2,0.81,0.74,0.6,0.59,0.8,0.88,0.89,0.79,0.82,0.32,0.78,0.31,0.92
ns-3.csv,0.43,0.64,0.7,0.56,0.64,0.03,0.76,0.59,0.82,0.36,0.65,0.67,0.56,0.51,0.42,0.68,0.7,0.6,0.51,0.66
nullc.csv,0.88,0.9,0.84,0.89,0.0,0.88,1.0,0.8,0.71,0.62,0.81,0.68,0.54,0.6,0.76,0.91,0.72,0.6,0.89,0.86
pixel-commandos.csv,0.86,0.83,0.76,0.96,0.92,0.98,0.87,1.0,0.95,0.82,0.83,1.0,1.0,1.0,0.99,0.93,1.0,1.0,0.0,1.0
plee-the-bear.csv,1.06,0.97,0.15,0.92,0.86,0.82,0.8,0.66,0.84,0.91,0.92,0.85,0.95,0.79,0.91,0.88,0.89,0.89,1.09,0.74
quantlib.csv,0.68,0.89,0.71,0.77,0.76,0.66,0.8,0.77,0.71,0.94,0.48,0.73,0.58,0.79,0.89,0.82,0.85,0.62,0.65,0.0
reaper-ecad.csv,0.69,0.81,0.69,0.0,0.59,0.77,0.54,0.75,0.8,0.65,0.62,0.75,0.97,0.86,1.04,0.55,1.12,0.99,0.42,0.68
sbml.csv,0.51,0.57,0.7,0.97,0.57,0.63,0.87,0.76,0.66,0.04,0.51,0.57,0.4,0.55,0.6,0.65,0.8,0.58,0.59,0.58
smartgwt.csv,0.61,0.52,0.62,0.67,0.64,0.72,0.82,0.81,0.71,0.79,0.58,0.54,0.47,0.52,0.05,0.86,0.37,0.9,0.8,0.72
unladen-swallow.csv,0.73,0.36,0.78,0.99,1.0,0.72,0.67,0.7,0.69,0.92,0.88,0.78,0.92,0.92,0.96,0.91,0.72,0.92,0.92,0.63
vienna-add-in.csv,0.79,0.59,0.77,0.82,1.0,0.68,0.83,0.04,0.62,0.72,0.84,0.79,0.62,0.75,0.97,0.89,0.82,0.65,0.58,0.98
wow-qrsk.csv,0.69,0.61,0.58,0.56,0.74,0.76,0.87,0.8,0.82,0.72,0.07,0.66,0.7,0.58,0.67,0.86,0.2,0.7,0.54,1.0
