,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.75,0.53,0.0,0.39,0.62,0.74,0.61,0.92,0.78,0.46,0.87,0.67
dsworkbench.csv,0.19,0.09,0.0,0.1,0.19,0.11,0.3,0.08,0.39,0.05,0.04,0.44
gogoego.csv,0.25,0.29,0.29,0.1,0.06,0.37,0.65,0.35,0.69,0.22,0.13,0.22
jpaul.csv,0.25,0.37,0.0,0.24,0.06,0.0,0.02,0.0,0.05,0.0,0.0,0.0
loki-lib.csv,0.81,0.74,0.14,0.63,0.44,0.53,0.5,0.44,0.49,0.29,0.26,0.33
motu.csv,0.12,0.98,0.86,0.71,0.78,0.32,0.28,0.33,0.9,0.34,0.43,0.11
mp-rechnungs-und-kundenverwaltung.csv,0.0,0.41,0.36,0.76,0.25,0.05,0.07,0.31,0.33,0.1,0.04,0.0
rtrt-on-gpu.csv,0.38,0.67,0.79,0.54,0.34,0.24,0.33,0.15,0.68,0.49,0.39,0.67
scenemonitor.csv,0.62,0.3,0.0,0.24,0.22,0.47,0.74,0.29,0.22,0.2,0.0,0.0
xstore.csv,0.38,0.92,0.29,0.41,0.25,0.63,0.89,0.42,0.66,0.29,0.35,1.0
yarp0.csv,0.56,0.36,0.86,0.15,0.47,0.24,0.43,0.85,0.74,0.24,0.83,0.11
zemljanka.csv,1.0,0.96,1.0,1.0,0.97,0.74,0.8,0.81,0.98,0.98,0.46,0.0
