,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.78,0.37,0.91,0.6,0.62,0.46,0.39,0.29,0.49,0.66,0.52,0.55
dsworkbench.csv,0.84,0.19,0.13,0.17,0.37,0.18,0.36,0.0,0.49,0.08,0.0,0.81
gogoego.csv,0.43,0.41,0.68,0.5,0.17,0.5,0.46,0.2,0.5,0.66,0.54,0.82
jpaul.csv,0.65,0.42,0.0,0.68,0.17,0.0,0.0,0.0,0.14,0.0,0.0,0.0
loki-lib.csv,0.73,0.41,0.46,0.52,0.45,0.4,0.47,0.23,0.5,0.6,0.63,0.8
motu.csv,0.58,0.4,0.94,0.49,0.39,0.44,0.47,0.14,0.51,0.6,0.56,0.54
mp-rechnungs-und-kundenverwaltung.csv,0.25,0.33,0.45,0.5,0.13,0.36,0.32,0.15,0.41,0.39,0.32,0.4
rtrt-on-gpu.csv,0.56,0.35,0.69,0.38,0.37,0.33,0.35,0.58,0.42,0.26,0.38,0.9
scenemonitor.csv,0.65,0.33,0.27,0.36,0.68,0.26,0.41,0.08,0.32,0.5,0.0,0.16
xstore.csv,0.71,0.41,0.63,0.52,0.6,0.37,0.39,0.13,0.49,0.71,0.62,0.91
yarp0.csv,0.67,0.32,0.81,0.08,0.44,0.61,0.22,0.3,0.49,0.49,0.54,0.65
zemljanka.csv,0.84,0.38,0.92,0.43,0.54,0.48,0.39,0.34,0.48,0.68,0.44,0.89
