,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.8,0.6,0.83,0.82,0.9,0.81,0.77,0.9,0.87,0.7,0.83,0.39
dsworkbench.csv,0.76,0.13,0.07,0.12,0.3,0.12,0.46,0.0,0.6,0.04,0.0,0.69
gogoego.csv,0.3,0.48,0.53,0.41,0.1,0.62,1.0,0.3,0.83,0.59,0.45,0.7
jpaul.csv,0.52,0.57,0.0,0.82,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0
loki-lib.csv,0.72,0.83,0.3,0.88,0.5,0.56,0.85,0.4,0.68,0.54,0.66,0.68
motu.csv,0.42,1.0,0.98,0.88,0.55,0.5,0.62,0.2,1.0,0.57,0.66,0.38
mp-rechnungs-und-kundenverwaltung.csv,0.14,0.45,0.3,0.94,0.1,0.25,0.23,0.2,0.45,0.26,0.21,0.25
rtrt-on-gpu.csv,0.44,0.65,0.58,0.53,0.35,0.31,0.46,0.7,0.66,0.22,0.38,0.84
scenemonitor.csv,0.58,0.39,0.16,0.35,0.7,0.31,0.92,0.1,0.28,0.39,0.0,0.09
xstore.csv,0.62,0.99,0.48,0.71,0.6,0.56,1.0,0.2,0.79,0.7,0.69,0.88
yarp0.csv,0.6,0.4,0.76,0.06,0.5,0.69,0.31,0.9,0.85,0.39,0.86,0.48
zemljanka.csv,0.96,0.92,0.96,0.94,0.95,0.88,0.92,1.0,0.98,0.96,0.48,0.81
