,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.58,0.27,0.32,0.23,0.23,0.28,0.07,0.47,0.49,0.38,0.2,0.06
archive-crawler.csv,0.47,0.3,0.22,0.43,0.45,0.52,0.56,0.53,0.49,0.35,0.67,0.32
blue-c.csv,0.72,0.66,0.72,0.51,0.57,0.16,0.21,0.45,0.77,0.69,0.53,0.88
dynalloy.csv,0.81,0.29,0.71,0.49,0.61,0.0,0.32,0.69,0.57,0.51,0.53,0.73
jcae.csv,0.17,0.18,0.22,0.3,0.0,0.08,0.07,0.12,0.06,0.45,0.23,0.05
kmatplot.csv,0.24,0.3,0.57,0.91,0.0,0.48,0.26,0.22,0.23,0.49,0.57,0.96
mscore.csv,0.83,0.97,0.96,0.74,0.5,0.4,0.25,0.61,0.65,0.87,0.9,0.84
nosleepsoftware.csv,0.01,0.04,0.0,0.19,0.0,0.12,0.19,0.06,0.02,0.27,0.37,0.06
openmalaria.csv,0.54,0.59,0.94,0.62,0.18,0.32,0.52,0.22,0.52,0.58,0.9,0.67
popeye-chess.csv,0.36,0.24,0.38,0.38,0.18,0.16,0.18,0.25,0.13,0.45,0.57,0.4
riff-evolve.csv,0.39,0.14,0.7,0.34,0.23,0.0,0.08,0.14,0.24,0.38,0.43,0.54
virtuoso.csv,0.64,0.95,0.97,0.98,0.18,1.0,0.73,0.9,0.88,0.73,0.7,0.18
