,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.46,0.55,0.99,0.58,0.56,0.62,0.47,0.48,0.49,0.32,0.39
ikvm.csv,0.67,0.54,0.49,0.77,0.63,0.81,0.46,0.76,0.54,0.61,0.62
libtorrent.csv,0.53,0.46,0.41,0.59,0.38,0.46,0.39,0.46,0.58,0.33,0.39
mcmc-jags.csv,0.56,0.5,0.46,0.71,0.39,0.46,0.41,0.44,0.45,0.35,0.4
moast.csv,0.7,0.57,0.42,0.44,0.37,0.46,0.94,0.44,0.53,0.5,0.44
olap-navigator.csv,0.57,0.64,0.49,0.62,0.46,0.75,0.59,0.47,0.48,0.37,0.39
pidgin.csv,0.78,0.53,0.5,0.67,0.36,0.88,0.72,0.56,0.55,0.68,0.48
salasaga.csv,0.46,0.34,0.56,0.5,0.39,0.36,0.48,0.52,0.42,0.38,0.62
sepgsql.csv,0.65,0.47,0.56,0.88,0.43,0.8,0.59,0.47,0.57,0.42,0.41
sigil.csv,0.58,0.42,0.95,0.67,0.64,0.92,0.46,0.45,0.85,0.35,0.39
xtreemfs.csv,0.48,0.46,0.49,0.72,0.38,0.52,0.48,0.47,0.52,0.37,0.42
