,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.52,0.38,0.34,0.71,0.49,0.84,0.53,0.64,0.63,0.65,0.57
ikvm.csv,0.38,0.9,0.41,0.3,0.46,0.38,0.33,0.31,0.0,0.32,0.3
libtorrent.csv,0.66,0.46,0.57,0.62,0.5,0.24,0.76,0.38,0.5,0.65,0.61
mcmc-jags.csv,0.52,0.53,0.39,0.83,0.58,0.51,0.63,0.78,0.65,0.69,0.61
moast.csv,0.28,0.38,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.61,0.97
olap-navigator.csv,0.87,0.4,0.73,0.57,0.6,0.81,0.4,0.79,0.53,0.81,0.51
pidgin.csv,0.3,0.36,0.57,0.0,0.74,0.64,0.33,0.58,0.69,0.35,0.62
salasaga.csv,0.42,0.59,0.43,0.65,0.65,0.61,0.49,0.43,0.74,0.74,0.25
sepgsql.csv,0.59,0.39,0.81,0.31,0.66,0.55,0.38,0.69,0.53,0.79,0.92
sigil.csv,0.78,0.54,0.3,0.16,0.4,0.45,0.57,0.85,0.29,0.73,0.61
xtreemfs.csv,0.75,0.55,0.52,0.64,0.37,0.66,0.53,0.82,0.61,0.85,0.87
