,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.1,0.0,0.52,0.38,0.0,0.81,0.23,0.76,0.21
ffigo.csv,0.38,0.1,1.0,0.35,0.38,0.8,0.76,0.0,0.79,0.43
foursquared.csv,0.0,0.28,1.0,0.0,0.69,1.0,0.0,0.0,0.0,0.0
gebr.csv,0.28,0.13,0.91,0.3,0.34,0.52,0.68,0.09,0.63,0.26
ildjit.csv,0.49,0.16,0.79,0.35,0.8,0.57,0.7,0.0,0.79,0.31
jfreereport.csv,0.1,0.26,1.0,0.48,0.9,0.94,0.86,0.17,0.86,0.56
kml.csv,0.13,0.13,0.98,0.33,0.35,0.75,0.73,0.09,0.67,0.27
ng4j.csv,0.32,0.17,0.83,0.41,0.43,0.67,0.82,0.0,0.73,0.56
pcsx2.csv,0.11,0.18,0.72,0.34,0.42,0.8,0.77,0.08,1.0,0.33
wxjs.csv,0.0,0.05,0.0,0.0,0.0,0.33,0.67,0.31,0.5,0.0
