,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.0,0.15,0.0,0.58,0.48,0.0,0.31,0.29,0.51,0.21
ffigo.csv,0.45,0.14,0.08,0.39,0.51,0.2,0.24,0.0,0.8,0.35
foursquared.csv,0.0,0.29,0.19,0.0,0.79,0.15,0.0,0.0,0.0,0.0
gebr.csv,0.43,0.23,0.8,0.47,0.51,0.63,0.79,0.16,0.77,0.4
ildjit.csv,0.55,0.2,0.36,0.32,0.28,0.42,0.29,0.0,0.48,0.24
jfreereport.csv,0.08,0.32,0.31,0.55,0.53,0.58,0.48,0.14,0.48,0.34
kml.csv,0.19,0.24,0.72,0.5,0.52,0.75,0.8,0.16,0.74,0.42
ng4j.csv,0.44,0.27,0.65,0.53,0.56,0.49,0.66,0.0,0.65,0.64
pcsx2.csv,0.11,0.28,0.84,0.51,0.52,0.57,0.74,0.14,0.03,0.47
wxjs.csv,0.0,0.05,0.0,0.0,0.0,0.1,0.08,0.47,0.03,0.0
