,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.56,0.42,0.55,0.26,0.63,0.53,0.58,0.45,0.31,0.31,0.44,0.77
codesmith.csv,0.26,0.28,0.54,0.25,0.65,0.56,0.46,0.29,0.37,0.23,0.33,0.83
icescrum.csv,0.48,0.46,0.64,0.29,0.82,0.55,0.65,0.49,0.24,0.25,0.74,0.71
ingex.csv,0.31,0.32,0.58,0.18,0.68,0.5,0.54,0.56,0.25,0.34,0.44,0.74
jrefactory.csv,0.22,0.29,0.75,0.16,0.51,0.38,0.46,0.49,0.13,0.3,0.34,0.64
jsecurity.csv,0.46,0.54,0.46,0.41,0.7,0.55,0.56,0.45,0.37,0.15,0.6,0.71
libopenmetaverse.csv,0.27,0.33,0.58,0.19,0.65,0.66,0.51,0.37,0.28,0.24,0.38,0.82
lite.csv,0.21,0.39,0.54,0.28,0.81,0.55,0.6,0.24,0.57,0.34,0.33,0.46
mobicents.csv,0.36,0.42,0.55,0.31,0.89,0.49,0.69,0.38,0.38,0.38,0.4,0.46
opendvr.csv,0.36,0.41,0.47,0.33,0.72,0.51,0.61,0.37,0.29,0.5,0.48,0.5
openefm.csv,0.27,0.55,0.55,0.23,0.8,0.71,0.53,0.46,0.75,0.27,0.47,0.73
sidekar.csv,0.0,0.48,0.0,0.0,0.88,0.0,0.0,0.0,0.27,0.29,0.0,0.0
