,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.76,0.67,0.5,0.67,0.55,0.51,0.61,0.67,0.56,0.58,0.64,0.56
codesmith.csv,0.28,0.46,0.44,0.37,0.59,0.59,0.44,0.41,0.74,0.36,0.49,0.79
icescrum.csv,0.64,0.43,0.35,0.4,0.47,0.35,0.54,0.66,0.36,0.21,0.87,0.19
ingex.csv,0.63,0.44,0.5,0.51,0.65,0.53,0.6,0.56,0.2,0.55,0.67,0.4
jrefactory.csv,0.42,0.46,0.75,0.42,0.39,0.2,0.39,0.6,0.28,0.47,0.5,0.13
jsecurity.csv,0.28,0.63,0.35,0.69,0.13,0.58,0.4,0.2,0.5,0.17,0.19,0.65
libopenmetaverse.csv,0.0,0.05,0.13,0.0,0.3,0.6,0.0,0.39,0.21,0.31,0.13,0.47
lite.csv,0.13,0.5,0.5,0.42,0.24,0.59,0.58,0.33,0.8,0.52,0.0,0.11
mobicents.csv,0.71,0.65,0.51,0.54,0.53,0.53,0.68,0.51,0.44,0.71,0.57,0.23
opendvr.csv,0.7,0.63,0.42,0.67,0.67,0.0,0.65,0.0,0.59,0.69,0.73,0.32
openefm.csv,0.54,0.68,0.51,0.6,0.15,0.32,0.58,0.48,0.24,0.36,0.7,0.61
sidekar.csv,0.0,0.4,0.0,0.0,0.78,0.0,0.0,0.0,0.09,0.0,0.0,0.0
