,kdenlive.csv,jmri.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,plplot.csv,wishmaster.csv,motu.csv,projectfactory.csv,amygdala.csv,dspace-gsoc.csv,runuomondains.csv,somap.csv,tigermud.csv,hydrate.csv,cme.csv
algebsql.csv,0.45,0.51,0.46,0.76,0.88,0.37,0.29,0.24,0.18,0.44,0.33,0.19,0.08,0.2,0.65,0.19
amygdala.csv,0.6,0.43,0.41,0.14,0.0,0.2,0.17,0.06,0.27,0.73,0.61,0.13,0.68,0.53,0.3,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.19,0.11,0.91
dspace-gsoc.csv,0.66,0.63,0.47,0.3,0.23,0.49,0.3,0.39,0.64,0.62,0.79,0.45,0.96,0.45,0.64,0.18
hydrate.csv,0.51,0.54,0.43,0.16,0.4,0.43,0.2,0.24,0.29,0.22,0.41,0.24,0.27,0.4,0.68,0.16
ivef-sdk.csv,0.73,0.6,0.37,1.0,0.25,0.34,0.34,0.0,0.61,0.09,0.33,0.0,0.66,0.2,0.06,0.19
jmri.csv,0.56,0.65,0.15,0.72,0.5,0.49,0.15,0.23,0.45,0.44,0.26,0.3,0.53,0.24,0.36,0.17
kdenlive.csv,0.76,0.5,0.36,0.25,0.31,0.5,0.37,0.45,0.51,0.58,0.76,0.26,0.75,0.56,0.76,0.27
motu.csv,0.64,0.55,0.49,0.61,0.15,0.5,0.38,0.5,0.63,0.48,0.33,0.19,0.85,0.49,0.48,0.2
plplot.csv,0.64,0.58,0.21,0.5,0.67,0.62,0.26,0.39,0.47,0.33,0.71,0.22,0.84,0.37,0.58,0.05
projectfactory.csv,0.49,0.58,0.52,0.11,0.52,0.46,0.14,0.42,0.57,0.59,0.44,0.34,0.55,0.6,0.79,0.19
runuomondains.csv,0.73,0.63,0.29,0.81,0.51,0.54,0.37,0.37,0.61,0.56,0.72,0.54,0.61,0.24,0.55,0.12
somap.csv,0.76,0.57,0.55,0.58,0.67,0.39,0.33,0.37,0.56,0.7,0.79,0.2,0.9,0.78,0.78,0.19
taverna.csv,0.51,0.17,0.62,0.14,0.63,0.38,0.28,0.26,0.39,0.58,0.11,0.14,0.5,0.74,0.33,0.0
tigermud.csv,0.4,0.55,0.46,0.0,0.05,0.09,0.0,0.3,0.16,0.05,0.36,0.21,0.6,0.75,0.76,0.0
wishmaster.csv,0.62,0.43,0.27,0.65,0.05,0.32,0.55,0.24,0.46,0.51,0.27,0.36,0.6,0.2,0.11,0.22
