,recall,precision,pf,wins
botsnscouts.csv,0.7,0.7,0.33,13
dspace-gsoc.csv,0.77,0.63,0.79,2
fbmanager.csv,0.0,0.0,0.0,4
fido.csv,0.015,0.37,0.03,10
freenet.csv,0.91,0.525,0.745,3
geogebra.csv,0.5,0.71,0.235,14
google-caja.csv,0.86,0.665,0.685,8
itext.csv,0.885,0.66,0.76,5
k3b.csv,0.77,0.665,0.7,7
megameknet.csv,0.76,0.61,0.585,9
myfaces.csv,0.5,0.715,0.22999999999999998,16
onotoa.csv,0.48,0.395,0.745,0
paintown.csv,0.835,0.605,0.86,1
powerfolder.csv,0.425,0.715,0.2,15
smartgwt.csv,0.54,0.62,0.35,11
sqlpower-library.csv,0.815,0.565,0.665,6
triplea.csv,0.6799999999999999,0.7,0.435,12
