,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.32,0.07,0.4,0.67,0.1,0.16,0.0,0.0,0.1,0.0
flylegacy.csv,0.76,0.21,0.62,0.48,0.54,0.54,0.62,0.65,0.61,0.23
jguard.csv,0.58,0.34,0.66,0.66,0.64,0.63,0.64,0.65,0.43,0.51
m-a-d-n-e-s-s.csv,0.33,0.04,0.4,0.28,0.04,0.04,0.0,0.18,0.7,0.14
mob-sen-plat.csv,0.6,0.78,0.49,0.46,0.64,0.49,0.56,0.62,0.79,0.59
raygina.csv,0.68,0.0,0.63,0.44,0.14,0.34,0.39,0.21,0.52,0.4
st-filteredstatistics.csv,0.53,0.35,0.63,0.61,0.63,0.31,0.48,0.81,0.63,0.54
upp-mirror.csv,0.4,0.11,0.58,0.35,0.64,0.37,0.17,0.39,0.51,0.5
wishmaster.csv,0.28,0.21,0.47,0.45,0.62,0.48,0.67,0.12,0.56,0.39
yarp.csv,0.24,0.0,0.46,0.17,0.02,0.26,0.41,0.12,0.37,0.61
