,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.28,0.06,0.37,0.66,0.08,0.13,0.0,0.0,0.08,0.0
flylegacy.csv,0.88,0.18,0.6,0.46,0.55,0.77,0.79,0.69,0.72,0.2
jguard.csv,0.8,0.3,0.89,0.79,0.86,0.63,0.79,0.9,1.0,0.48
m-a-d-n-e-s-s.csv,0.28,0.03,0.37,0.24,0.03,0.03,0.0,0.15,0.68,0.12
mob-sen-plat.csv,0.88,0.79,0.86,0.44,0.78,0.73,0.57,0.64,0.88,0.6
raygina.csv,0.68,0.0,0.78,0.41,0.12,0.3,0.36,0.18,0.48,0.36
st-filteredstatistics.csv,0.8,0.3,0.68,0.63,0.77,0.27,0.5,0.79,0.64,0.52
upp-mirror.csv,0.36,0.09,0.63,0.31,0.64,0.33,0.14,0.36,0.48,0.52
wishmaster.csv,0.24,0.18,0.46,0.41,0.64,0.5,0.64,0.1,0.52,0.36
yarp.csv,0.2,0.0,0.43,0.14,0.02,0.23,0.36,0.1,0.32,0.6
