,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.14,0.1,0.36,0.31,0.12,0.11,0.05,0.08,0.07,0.0
flylegacy.csv,0.51,0.05,0.27,0.41,0.51,0.75,0.66,0.46,0.62,0.24
jguard.csv,0.72,0.15,0.68,0.61,0.68,0.39,0.64,0.69,0.87,0.34
m-a-d-n-e-s-s.csv,0.07,0.0,0.36,0.13,0.07,0.09,0.0,0.0,0.18,0.13
mob-sen-plat.csv,0.74,0.25,0.82,0.47,0.63,0.79,0.46,0.46,0.43,0.45
raygina.csv,0.3,0.0,0.64,0.37,0.17,0.32,0.43,0.08,0.2,0.26
st-filteredstatistics.csv,0.77,0.1,0.5,0.46,0.63,0.18,0.57,0.08,0.4,0.34
upp-mirror.csv,0.33,0.1,0.55,0.21,0.34,0.29,0.16,0.46,0.35,0.55
wishmaster.csv,0.19,0.2,0.5,0.32,0.46,0.59,0.2,0.23,0.22,0.37
yarp.csv,0.19,0.05,0.32,0.11,0.07,0.48,0.18,0.0,0.12,0.37
