,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv
benojt.csv,0.85,1.0,1.0,0.0,0.97,0.96
jahshaka.csv,0.27,0.24,0.57,0.0,0.66,0.72
jam-daq.csv,0.49,0.06,0.22,0.0,0.18,0.3
jatlas.csv,0.81,0.47,0.83,0.33,0.16,0.56
jedit.csv,0.17,0.98,0.57,1.0,0.92,1.0
open-media-library.csv,0.72,0.16,0.26,1.0,0.5,0.69
