,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.47,0.52,0.44,0.22,0.64
minig.csv,0.49,0.52,0.67,0.23,0.12
ossbuild.csv,0.26,0.62,0.45,0.48,0.38
rezilla.csv,0.68,0.57,0.46,0.14,0.39
webdriver.csv,0.3,0.72,0.43,0.11,0.46
