,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.88,0.5,0.67,0.5,0.67,0.95,0.0,0.0,0.0
botsnscouts.csv,0.93,0.83,0.5,0.83,0.56,0.9,0.42,0.48,0.44,0.93,0.69,0.0,0.67,0.8,0.5,0.4,0.75,0.71,0.75
bscwweasel.csv,0.95,0.67,0.89,0.67,0.8,0.95,0.64,0.79,0.89,0.75,0.0,0.75,0.5,0.86,0.67,0.96,0.0,0.83,0.89
bzbyte.csv,0.44,0.58,0.38,0.44,0.41,0.54,0.37,0.41,0.44,0.34,0.36,0.4,0.43,0.4,0.39,0.38,0.53,0.45,0.49
capcode.csv,0.97,0.0,0.91,0.67,0.75,0.94,0.5,0.89,0.92,0.93,0.85,0.64,0.67,0.94,0.83,0.99,0.76,0.54,0.89
emite.csv,0.79,0.49,0.46,0.81,0.5,0.81,0.42,0.47,0.44,0.77,0.32,0.92,0.62,0.72,0.65,0.45,0.55,0.43,0.68
fbmanager.csv,0.57,0.61,0.67,0.47,0.39,0.95,0.55,0.44,0.62,0.63,0.68,0.64,0.58,0.57,0.43,0.62,0.91,0.58,0.74
lcfizvtop.csv,0.84,0.5,0.46,0.76,0.42,0.58,0.36,0.5,0.36,0.35,0.34,0.82,0.8,0.77,0.46,0.42,0.43,0.71,0.48
mediaportal.csv,0.88,0.28,0.48,0.5,0.48,0.5,0.49,0.48,0.45,0.46,0.42,0.67,0.0,0.42,0.55,0.95,0.41,0.51,0.46
nodal.csv,0.79,0.5,0.46,0.83,0.41,0.58,0.77,0.44,0.8,0.77,0.44,0.62,0.86,0.8,0.88,0.58,0.88,0.36,0.86
paintown.csv,0.52,0.69,0.46,0.43,0.41,0.45,0.35,0.36,0.42,0.37,0.45,0.53,0.5,0.34,0.35,0.37,0.7,0.38,0.53
powerfolder.csv,0.0,0.67,0.0,0.0,0.0,0.67,0.9,0.0,0.67,0.5,0.5,0.0,0.0,0.8,0.75,0.98,0.0,0.5,0.0
retromenu.csv,0.93,0.88,0.88,0.69,0.53,0.86,0.55,0.6,0.5,0.92,0.8,0.5,0.5,0.91,0.71,0.5,0.0,0.69,0.67
smbopensoft.csv,0.91,0.44,0.41,0.93,0.48,0.71,0.43,0.58,0.56,0.75,0.48,0.93,0.58,0.75,0.92,0.51,0.71,0.5,0.72
sqlpower-library.csv,0.59,0.57,0.36,0.82,0.44,0.6,0.41,0.46,0.38,0.41,0.44,0.6,0.53,0.63,0.5,0.48,0.52,0.4,0.52
st-filteredstatistics.csv,0.5,0.97,0.43,0.47,0.39,0.54,0.33,0.38,0.52,0.37,0.33,0.54,0.47,0.48,0.39,0.36,0.41,0.36,0.46
triplea.csv,0.49,0.28,0.4,0.49,0.38,0.5,0.35,0.39,0.4,0.35,0.34,0.55,0.41,0.45,0.44,0.42,0.58,0.35,0.41
uface.csv,0.55,0.28,0.31,0.47,0.37,0.43,0.34,0.41,0.35,0.31,0.29,0.47,0.41,0.33,0.34,0.41,0.32,0.4,0.38
