,nsis.csv,arsenal-1.csv,jbpm.csv,neodatis-odb.csv,mediate.csv,aztec.csv,mycila.csv,rodin-b-sharp.csv
arsenal-1.csv,0.17,0.98,0.32,0.33,0.41,0.0,0.15,0.21
aztec.csv,0.22,0.48,0.11,0.48,0.45,0.96,0.36,0.44
jbpm.csv,0.02,0.07,1.0,0.36,0.31,0.07,0.26,0.56
mediate.csv,0.58,0.66,0.24,0.42,0.99,0.1,0.3,0.4
mycila.csv,0.33,0.42,0.07,0.25,0.46,0.1,1.0,0.61
neodatis-odb.csv,0.79,0.55,0.16,1.0,0.59,0.1,0.3,0.44
nsis.csv,1.0,0.5,0.19,0.46,0.66,0.13,0.34,0.45
rodin-b-sharp.csv,0.05,0.0,0.15,0.0,0.39,0.0,0.0,1.0
