,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.75,0.0,0.71,0.5,0.44,0.0,0.0,0.99,0.86,0.0,0.62,0.91,0.95,0.8,0.7,0.0,0.98
codeblocks.csv,0.34,0.42,0.58,0.65,0.44,0.34,0.4,0.53,0.6,0.34,0.37,0.5,0.45,0.67,0.48,0.49,0.56
grisbi.csv,0.44,0.43,0.36,0.31,0.46,0.36,0.33,0.48,0.49,0.37,0.35,0.5,0.44,0.33,0.34,0.44,0.46
libmesh.csv,0.88,0.63,0.93,0.88,0.78,0.93,0.82,0.8,0.86,0.36,0.54,0.78,0.56,0.92,0.9,0.98,0.74
panda3d.csv,0.82,0.47,0.44,0.44,0.9,0.39,0.42,0.99,0.58,0.4,0.41,0.59,0.48,0.41,0.6,0.48,0.97
proftp.csv,0.88,0.6,0.42,0.75,0.86,0.38,0.75,0.86,0.42,0.0,0.92,0.54,0.77,0.45,0.48,0.9,0.94
red5.csv,0.37,0.46,0.38,0.45,0.46,0.41,0.48,0.46,0.66,0.35,0.36,0.5,0.43,0.41,0.37,0.46,0.49
skia.csv,0.67,0.74,0.34,0.5,0.48,0.34,0.56,0.59,0.43,0.67,0.8,0.45,0.86,0.53,0.46,0.42,0.52
soar.csv,0.39,0.41,0.4,0.34,0.44,0.4,0.35,0.47,0.49,0.36,0.35,0.45,0.44,0.69,0.36,0.45,0.48
super-tux.csv,0.47,0.44,0.32,0.45,0.58,0.4,0.5,0.42,0.66,0.35,0.44,0.55,0.43,0.83,0.38,0.45,0.45
t-2.csv,0.67,0.43,0.55,0.93,0.46,0.67,0.36,0.79,0.9,0.36,0.41,0.56,0.44,0.36,0.5,0.56,0.62
tart.csv,0.81,0.79,0.38,0.44,0.45,0.39,0.32,0.65,0.46,0.38,0.6,0.59,0.56,0.35,0.47,0.91,0.56
tcvp.csv,0.83,0.95,0.5,0.0,0.67,0.0,0.0,0.96,0.0,0.73,0.94,0.8,0.0,0.0,0.93,0.88,0.83
tencompetence.csv,0.7,0.96,0.94,0.88,0.74,0.92,0.91,0.6,0.54,0.0,0.73,0.58,0.65,0.44,0.61,0.98,0.64
utgb.csv,0.89,0.51,0.55,0.78,0.6,0.4,0.45,0.98,0.5,0.4,0.44,0.47,0.47,0.41,0.43,0.42,0.63
xbrlapi.csv,0.46,0.89,0.51,0.44,0.46,0.75,0.44,0.97,0.44,0.0,0.64,0.55,0.8,0.33,0.89,0.0,0.99
zemljanka.csv,0.39,0.44,0.38,0.32,0.46,0.41,0.34,0.44,0.43,0.37,0.39,0.49,0.57,0.34,0.37,0.48,0.47
