,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,0.02,0.0,0.39,0.06,0.72,0.0,0.0,0.12,0.15,0.0,0.79,0.05,0.26,0.12,0.39,0.0,0.2
codeblocks.csv,0.54,0.7,0.42,0.4,0.59,0.69,0.47,0.54,0.68,0.42,0.58,0.47,0.7,0.12,0.6,0.34,0.2
grisbi.csv,0.47,0.53,0.59,0.13,0.63,0.58,0.84,0.45,0.33,0.21,0.62,0.55,0.8,0.35,0.57,0.56,0.27
libmesh.csv,0.27,0.51,0.3,0.15,0.43,0.09,0.25,0.58,0.71,0.0,0.53,0.49,0.0,0.27,0.16,0.25,0.25
panda3d.csv,0.22,0.6,0.67,0.53,0.17,0.63,0.61,0.18,0.39,0.68,0.51,0.54,0.55,0.65,0.42,0.48,0.09
proftp.csv,0.12,0.31,0.46,0.09,0.28,0.75,0.27,0.32,0.17,0.0,0.0,0.39,0.16,0.46,0.55,0.06,0.04
red5.csv,0.34,0.58,0.63,0.67,0.39,0.65,0.24,0.71,0.73,0.05,0.17,0.35,0.75,0.36,0.41,0.38,0.46
skia.csv,0.28,0.26,0.55,0.47,0.52,0.7,0.4,0.5,0.26,0.0,0.24,0.46,0.09,0.3,0.66,0.5,0.28
soar.csv,0.29,0.0,0.34,0.35,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.41
super-tux.csv,0.38,0.41,0.6,0.53,0.57,0.6,0.0,0.69,0.65,0.21,0.57,0.57,0.93,0.12,0.45,0.38,0.39
t-2.csv,0.42,0.49,0.47,0.32,0.35,0.33,0.0,0.66,0.6,0.0,0.67,0.45,0.74,0.0,0.51,0.33,0.54
tart.csv,0.34,0.27,0.59,0.52,0.62,0.49,0.79,0.45,0.5,0.3,0.93,0.37,0.43,0.35,0.55,0.06,0.37
tcvp.csv,0.09,0.19,0.04,0.02,0.0,0.0,0.02,0.11,0.0,0.78,0.0,0.0,0.0,0.0,0.11,0.04,0.0
tencompetence.csv,0.48,0.19,0.3,0.22,0.4,0.16,0.18,0.39,0.48,0.0,0.0,0.5,0.57,0.59,0.53,0.26,0.81
utgb.csv,0.06,0.53,0.72,0.34,0.51,0.64,0.53,0.07,0.26,0.63,0.58,0.52,0.51,0.41,0.55,0.55,0.31
xbrlapi.csv,0.7,0.09,0.49,0.5,0.42,0.35,0.52,0.41,0.35,0.0,0.23,0.29,0.05,0.46,0.2,0.0,0.31
zemljanka.csv,0.38,0.68,0.0,0.13,0.54,0.37,0.78,0.0,0.4,0.27,0.66,0.59,0.45,0.17,0.59,0.83,0.13
