,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.5,0.59,0.1,0.97,0.29,0.3,0.56,0.17,0.28,0.06
firebird.csv,0.96,0.81,0.12,0.49,0.43,0.43,0.58,0.4,0.49,0.11
fmri-dmt.csv,0.45,1.0,0.5,0.46,0.47,0.59,0.73,0.36,0.29,1.0
htmlunit.csv,0.71,0.65,0.33,0.37,0.33,1.0,0.58,0.25,0.47,0.11
monetdb.csv,0.62,0.56,0.24,0.42,0.26,0.58,0.65,0.36,1.0,0.13
ontomorphtab.csv,0.62,1.0,0.09,0.45,0.45,0.37,0.5,0.31,0.41,0.11
smarttag.csv,0.59,0.8,0.08,0.42,0.49,0.45,0.64,1.0,0.42,0.14
taokgame.csv,0.67,0.78,1.0,0.42,0.5,0.27,0.5,0.33,0.68,0.0
webdriver.csv,0.49,0.75,0.13,0.38,0.43,0.42,0.98,0.3,0.31,0.17
xbplayer.csv,0.66,0.8,0.05,0.51,1.0,0.62,0.69,0.46,0.52,0.11
