,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.96,0.84,0.8,0.07,0.89,0.83,0.6,0.94,0.83,0.87
firebird.csv,0.09,0.64,0.68,0.57,0.53,0.52,0.53,0.48,0.5,0.7
fmri-dmt.csv,0.9,0.77,0.9,0.92,0.84,0.89,0.82,0.68,0.92,0.17
htmlunit.csv,0.94,0.86,0.51,0.69,0.73,0.08,0.65,1.0,0.52,0.77
monetdb.csv,0.6,0.88,0.4,0.64,0.81,0.59,0.59,0.54,0.06,0.7
ontomorphtab.csv,0.6,0.03,0.78,0.57,0.49,0.61,0.66,0.75,0.61,0.63
smarttag.csv,0.62,0.67,0.83,0.67,0.51,0.56,0.43,0.07,0.56,0.58
taokgame.csv,0.8,0.81,0.0,0.81,0.71,0.97,0.84,0.74,0.73,1.0
webdriver.csv,0.75,0.62,0.68,0.68,0.56,0.63,0.02,0.66,0.79,0.56
xbplayer.csv,0.67,0.78,0.93,0.68,0.05,0.52,0.54,0.6,0.75,0.84
