,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.88,0.66,0.6,0.94,0.76,0.74,0.49,0.07,0.6,0.17
firebird.csv,0.92,0.37,0.7,0.52,0.83,0.76,0.62,0.71,0.6,0.83
fmri-dmt.csv,0.12,0.23,0.1,0.08,0.17,0.11,0.18,0.36,0.09,0.83
htmlunit.csv,0.06,0.97,0.5,0.48,0.33,0.92,0.4,0.93,0.6,1.0
monetdb.csv,0.49,0.14,0.7,0.47,0.29,0.43,0.44,0.71,0.94,0.33
ontomorphtab.csv,0.51,0.97,0.5,0.6,0.74,0.7,0.47,0.93,0.49,0.67
smarttag.csv,0.71,0.34,0.4,0.41,0.57,0.52,0.78,0.93,0.62,0.5
taokgame.csv,0.21,0.2,1.0,0.2,0.31,0.03,0.18,0.29,0.28,0.0
webdriver.csv,0.45,0.43,0.4,0.5,0.55,0.44,1.0,0.71,0.26,0.5
xbplayer.csv,0.37,0.23,0.1,0.35,0.95,0.49,0.49,0.43,0.26,0.17
