,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.17,0.49,0.5,0.95,0.4,0.5,0.52,0.09,0.48,0.2
firebird.csv,0.93,0.42,0.6,0.55,0.73,0.7,0.62,0.69,0.62,0.63
fmri-dmt.csv,0.14,0.27,0.12,0.1,0.2,0.13,0.21,0.4,0.11,0.86
htmlunit.csv,0.07,0.44,0.55,0.49,0.37,0.93,0.44,0.0,0.61,0.6
monetdb.csv,0.52,0.17,0.71,0.5,0.33,0.48,0.48,0.67,0.95,0.37
ontomorphtab.csv,0.53,0.98,0.48,0.6,0.7,0.63,0.49,0.61,0.52,0.62
smarttag.csv,0.64,0.39,0.41,0.45,0.6,0.55,0.74,0.94,0.62,0.53
taokgame.csv,0.25,0.24,1.0,0.24,0.36,0.04,0.21,0.33,0.33,0.0
webdriver.csv,0.46,0.47,0.44,0.51,0.57,0.48,1.0,0.62,0.3,0.54
xbplayer.csv,0.41,0.27,0.12,0.39,0.96,0.54,0.53,0.48,0.3,0.2
