,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.64,0.62,0.16,0.95,0.42,0.43,0.52,0.1,0.38,0.09
firebird.csv,0.94,0.51,0.21,0.51,0.57,0.55,0.6,0.51,0.54,0.19
fmri-dmt.csv,0.19,0.37,0.17,0.14,0.25,0.19,0.29,0.36,0.13,0.91
htmlunit.csv,0.11,0.78,0.4,0.42,0.33,0.96,0.47,0.39,0.52,0.2
monetdb.csv,0.55,0.23,0.36,0.44,0.27,0.49,0.53,0.48,0.97,0.19
ontomorphtab.csv,0.56,0.99,0.16,0.52,0.56,0.49,0.48,0.46,0.45,0.19
smarttag.csv,0.64,0.48,0.13,0.41,0.53,0.48,0.7,0.96,0.5,0.22
taokgame.csv,0.32,0.32,1.0,0.27,0.38,0.06,0.26,0.31,0.39,0.0
webdriver.csv,0.47,0.55,0.2,0.43,0.48,0.43,0.99,0.43,0.28,0.25
xbplayer.csv,0.47,0.36,0.07,0.41,0.98,0.55,0.57,0.44,0.34,0.13
