,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.42,0.56,0.4,0.63,0.49,0.42,0.56,0.83,0.52,0.65
firebird.csv,0.49,0.56,0.47,0.54,0.44,0.36,0.44,0.48,0.49,0.36
fmri-dmt.csv,0.98,0.88,0.5,0.99,0.93,0.94,0.91,0.64,0.93,0.8
htmlunit.csv,0.93,0.44,0.93,0.58,0.67,0.6,0.65,0.4,0.5,0.37
monetdb.csv,0.54,0.89,0.76,0.61,0.78,0.69,0.55,0.5,0.59,0.87
ontomorphtab.csv,0.49,0.44,0.39,0.53,0.39,0.39,0.48,0.4,0.5,0.35
smarttag.csv,0.39,0.6,0.43,0.69,0.57,0.52,0.4,0.77,0.41,0.57
taokgame.csv,0.89,0.89,0.9,1.0,0.73,0.91,0.94,0.83,0.95,0.5
webdriver.csv,0.57,0.7,0.61,0.67,0.66,0.59,0.5,0.48,0.67,0.72
xbplayer.csv,0.57,0.7,0.75,0.64,0.62,0.61,0.59,0.54,0.96,0.89
