,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.84,0.88,0.29,0.44,0.94,0.79,0.57,0.18,0.01,0.28,0.27,0.65,0.55,0.87,0.56,0.87,0.47,0.6,0.68
amygdala.csv,0.76,0.8,0.2,0.06,0.89,0.83,0.44,0.18,0.0,0.23,0.2,0.68,0.26,0.71,0.62,0.48,0.49,0.88,0.0
awemud.csv,0.82,0.8,0.21,0.3,0.81,0.89,0.48,0.2,0.01,0.0,0.18,0.65,0.47,0.66,0.58,0.76,0.52,0.64,0.56
bullet.csv,0.76,0.67,0.17,0.77,0.87,0.88,0.39,0.17,0.01,0.0,0.13,0.6,0.35,0.31,0.61,0.62,1.0,0.62,0.58
customwars.csv,0.83,0.89,0.21,1.0,0.95,0.78,0.56,0.14,0.01,0.0,0.26,0.64,0.65,0.74,0.6,0.82,0.56,0.73,0.8
dvd-create.csv,0.77,0.68,0.21,0.17,0.97,0.89,0.35,0.22,0.0,1.0,0.15,0.66,0.21,0.63,0.64,0.63,0.5,0.54,0.55
gbif-indexingtoolkit.csv,0.74,0.67,0.22,0.23,0.81,0.62,0.38,0.32,0.0,1.0,0.17,0.51,0.33,0.59,0.64,0.5,0.46,0.66,0.4
go.csv,0.72,0.84,0.27,0.34,0.85,0.83,0.51,0.16,0.0,0.0,0.15,0.57,0.46,0.68,0.62,0.69,0.53,0.84,0.61
growl-for-windows.csv,0.88,0.0,0.24,0.0,1.0,0.0,0.46,0.15,0.0,0.0,0.15,0.65,0.0,0.83,0.57,0.62,1.0,0.96,1.0
gss.csv,0.78,0.71,0.25,0.9,0.92,0.78,0.44,0.17,0.01,0.0,0.15,0.57,0.39,0.61,0.62,0.83,0.51,0.63,0.66
kwave.csv,0.78,0.64,0.37,0.25,0.8,0.81,0.4,0.17,0.0,0.0,0.14,0.52,0.31,0.61,0.63,0.82,0.56,0.61,0.42
libarchive.csv,0.78,0.75,0.19,0.22,0.85,0.79,0.43,0.19,0.0,0.24,0.15,0.66,0.39,0.6,0.63,0.59,0.49,0.71,0.63
linux-ntfs.csv,0.78,0.66,0.21,0.51,0.87,0.81,0.39,0.19,0.01,0.22,0.19,0.56,0.38,0.6,0.58,0.71,0.62,0.56,0.53
lsb.csv,0.81,0.57,0.15,0.63,0.8,0.83,0.46,0.25,0.01,0.0,0.15,0.5,0.73,0.67,0.56,0.6,0.56,0.69,0.53
mpgravity.csv,0.75,0.81,0.19,0.22,0.84,0.78,0.34,0.19,0.0,0.56,0.15,0.54,0.0,0.65,0.63,0.6,0.48,0.66,0.45
qcad2.csv,0.76,0.87,0.27,0.3,1.0,0.75,0.48,0.16,0.01,0.23,0.26,0.63,0.68,0.69,0.67,0.59,0.52,0.71,0.6
qtwin.csv,0.8,0.0,0.0,0.0,0.0,0.5,0.57,0.19,0.03,0.33,0.14,0.75,0.36,0.74,0.65,0.83,0.57,0.5,0.0
roller.csv,0.8,0.73,0.25,0.2,0.81,0.75,0.37,0.2,0.0,0.33,0.18,0.52,0.3,0.84,0.6,0.6,0.45,0.7,0.42
xinity.csv,0.58,0.61,0.37,0.13,0.73,0.66,0.23,0.24,0.0,0.23,0.18,0.44,0.28,0.68,0.72,0.52,0.39,0.79,0.32
