,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
acdk.csv,0.27,0.09,0.18,0.15,0.11,0.29,0.27,0.36,0.32,0.71,0.32,0.26,0.27,0.12,0.58,0.1,0.59,0.22,0.16
amygdala.csv,0.43,0.02,0.21,0.21,0.06,0.14,0.47,0.66,0.46,0.8,0.29,0.34,0.27,0.33,0.31,0.6,0.72,0.11,0.01
awemud.csv,0.37,0.33,0.39,0.31,0.72,0.19,0.37,0.48,0.24,0.0,0.69,0.2,0.34,0.55,0.73,0.2,0.55,0.5,0.35
bullet.csv,0.63,0.6,0.86,0.06,0.33,0.33,0.46,0.4,0.08,0.02,0.57,0.66,0.27,0.49,0.46,0.7,0.0,0.56,0.32
customwars.csv,0.3,0.07,0.27,0.0,0.06,0.33,0.14,0.36,0.19,0.0,0.31,0.14,0.14,0.2,0.73,0.15,0.14,0.22,0.07
dvd-create.csv,0.37,0.67,0.46,0.95,0.11,0.24,0.79,0.56,0.56,0.0,0.87,0.37,0.78,0.61,0.38,0.75,0.79,0.89,0.37
gbif-indexingtoolkit.csv,0.87,0.73,0.5,0.99,0.89,0.57,0.75,0.3,0.76,0.0,0.68,0.71,0.68,0.35,0.31,0.95,0.69,0.78,0.94
go.csv,0.73,0.27,0.48,0.14,0.33,0.43,0.36,0.72,0.4,0.0,0.81,0.66,0.35,0.51,0.73,0.4,0.52,0.33,0.32
growl-for-windows.csv,0.23,0.0,0.23,0.0,0.0,0.0,0.47,0.56,0.0,0.0,0.94,0.49,0.0,0.04,0.38,0.75,0.0,0.06,0.0
gss.csv,0.63,0.51,0.64,0.02,0.22,0.76,0.49,0.8,0.42,0.0,0.88,0.66,0.56,0.84,0.88,0.2,0.66,0.72,0.21
kwave.csv,0.57,1.0,0.3,1.0,1.0,0.48,0.67,0.76,0.58,0.0,0.89,0.69,0.84,0.78,0.88,0.2,0.55,0.78,1.0
libarchive.csv,0.63,0.53,0.54,0.44,0.5,0.71,0.59,0.96,0.61,0.76,0.99,0.46,0.57,1.0,0.92,0.75,0.86,0.83,0.25
linux-ntfs.csv,0.4,0.56,0.61,0.22,0.44,0.52,0.28,0.5,0.04,0.68,0.54,0.49,0.58,0.65,0.77,0.5,0.41,0.83,0.37
lsb.csv,0.4,0.76,0.8,0.16,0.89,0.48,0.28,0.36,0.36,0.0,0.87,0.86,0.08,0.39,0.69,0.9,0.55,0.67,0.41
mpgravity.csv,0.83,0.27,0.7,0.88,0.67,0.71,0.97,0.96,0.0,0.17,1.0,0.94,0.0,0.76,0.88,1.0,0.93,0.94,0.85
qcad2.csv,0.3,0.04,0.14,0.05,0.0,0.38,0.37,0.62,0.32,0.83,0.26,0.2,0.13,0.37,0.54,0.75,0.72,0.39,0.24
qtwin.csv,0.07,0.0,0.02,0.0,0.0,0.14,0.03,0.42,0.09,0.1,0.32,0.03,0.1,0.22,0.27,0.05,0.21,0.06,0.0
roller.csv,0.57,0.6,0.59,0.82,0.83,0.9,0.78,0.8,0.73,0.2,0.73,0.91,0.94,0.2,0.81,0.85,0.93,0.72,0.96
xinity.csv,0.63,0.91,0.21,1.0,0.89,0.67,0.63,0.38,0.66,1.0,0.35,0.54,0.95,0.27,0.42,0.8,0.69,0.33,0.9
