,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.58,0.04,0.0,0.55,0.28,0.14,0.46,0.5,0.32,0.19,0.5,0.31,0.71,0.26,0.15,0.05,0.13,0.81,0.03
apolloplayer.csv,0.5,0.79,0.44,0.97,0.56,0.29,0.97,0.23,0.37,0.72,0.46,0.77,0.56,0.67,0.69,0.28,0.71,0.11,0.97
auber.csv,0.42,0.83,0.8,0.93,0.94,0.71,0.86,0.65,0.78,0.79,0.96,0.31,0.62,0.44,0.65,0.97,0.61,0.36,0.63
cortex-vfx.csv,0.61,0.92,0.36,0.28,0.72,0.57,0.4,0.35,0.26,0.51,0.08,0.77,0.35,0.6,0.2,0.67,0.51,0.11,0.26
growl-for-windows.csv,0.0,0.71,0.44,0.0,0.0,0.71,0.02,0.45,0.28,0.31,0.15,0.08,0.4,0.14,0.02,0.03,0.06,0.67,0.13
ifmo-game-1.csv,0.03,0.08,0.0,0.03,0.4,0.86,0.18,0.06,0.08,0.06,0.0,0.31,0.02,0.14,0.1,0.04,0.19,0.75,0.0
ildjit.csv,0.08,0.17,0.6,0.72,0.37,0.14,0.27,0.14,0.2,0.39,0.12,0.15,0.46,0.05,0.58,0.51,0.81,0.14,0.18
jfreereport.csv,0.26,0.25,0.32,0.07,0.43,0.29,0.22,0.2,0.35,0.24,0.15,0.38,0.4,0.18,0.3,0.08,0.23,0.14,0.11
keyczar.csv,0.13,0.0,0.36,0.0,0.0,0.0,0.18,0.02,0.05,0.07,0.12,0.0,0.77,0.21,0.09,0.0,0.0,0.31,0.16
moast.csv,0.45,0.38,0.32,1.0,0.49,0.43,1.0,0.56,0.53,0.37,0.65,0.46,1.0,0.23,0.61,0.97,0.42,0.5,1.0
opde.csv,0.61,0.71,0.56,0.21,0.7,1.0,1.0,0.55,0.64,0.87,0.19,0.85,0.48,0.65,0.85,0.19,0.97,0.92,0.66
openfrag.csv,0.76,0.71,0.56,0.31,0.97,0.71,0.53,0.76,0.58,0.72,0.77,0.85,0.02,0.67,0.85,0.93,0.97,0.61,0.39
passwordsafe.csv,0.63,0.5,0.56,0.28,0.93,0.71,0.41,0.53,0.61,0.73,0.54,0.62,0.04,0.61,0.66,0.99,0.79,0.42,0.26
ppcboot.csv,0.97,0.92,0.88,1.0,0.98,0.86,0.58,1.0,0.97,1.0,1.0,1.0,0.21,0.96,0.96,1.0,0.71,0.33,1.0
quark.csv,0.42,0.29,0.12,0.0,0.17,0.0,0.0,0.08,0.21,0.21,0.04,0.92,0.0,0.32,0.14,0.02,0.09,0.03,0.0
super-tux.csv,0.87,0.54,0.56,1.0,0.44,0.43,0.93,0.77,0.91,0.57,0.5,0.69,0.52,0.84,0.48,0.26,0.57,0.5,0.87
synergyspace.csv,0.32,0.58,0.24,0.28,0.49,0.43,0.61,0.52,0.27,0.43,0.65,0.23,0.27,0.21,0.77,0.96,0.42,0.28,0.79
wikipediardware.csv,0.84,0.88,0.92,0.41,0.94,0.71,0.72,0.88,0.65,0.84,0.81,1.0,0.56,0.77,0.85,0.98,0.81,0.69,0.71
xtreemfs.csv,0.97,0.58,0.28,0.66,0.73,0.57,0.7,0.64,0.75,0.75,0.46,0.85,0.19,0.82,0.86,0.98,0.68,0.69,0.76
