,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.54,0.99,0.58,0.55,0.81,0.4,0.55,0.6,0.67,0.59,0.59,0.67,0.67,0.51
customwars.csv,0.35,0.16,0.34,0.33,0.41,0.22,0.21,0.31,0.9,0.36,0.73,0.45,0.39,0.31
firebreath.csv,0.35,0.64,0.5,0.46,0.63,0.55,0.93,0.68,0.63,0.62,0.45,0.31,0.58,0.57
gss.csv,0.63,0.58,0.53,0.65,0.56,0.46,0.56,0.72,0.64,0.69,0.64,0.52,0.63,1.0
irplus.csv,0.39,0.48,0.52,0.59,0.57,0.4,0.48,0.23,0.43,0.97,0.61,0.48,0.29,0.32
kwave.csv,0.43,0.39,0.37,0.52,0.35,0.9,0.42,0.45,0.53,0.36,0.17,0.46,0.44,0.27
liferea.csv,0.31,0.37,0.34,0.25,1.0,0.14,0.16,0.47,0.53,0.48,0.0,0.49,0.23,0.37
plearn.csv,0.82,0.49,0.56,0.41,0.47,0.57,0.48,0.46,0.44,0.48,0.52,0.56,0.46,0.61
psrchive.csv,0.2,0.15,0.05,0.94,0.0,0.07,0.16,0.02,0.07,0.0,0.34,0.12,0.2,0.12
qcad2.csv,0.5,0.46,0.46,0.57,0.52,0.5,0.16,1.0,0.45,0.47,0.71,0.41,0.59,0.69
tzod.csv,0.59,0.61,0.97,0.6,0.7,0.41,0.49,0.72,0.5,0.5,0.58,0.45,0.62,0.55
wxcode.csv,0.31,0.18,0.13,0.34,0.1,0.07,0.12,0.2,0.21,0.1,1.0,0.09,0.2,0.2
xinity.csv,0.48,0.46,0.43,0.33,0.46,0.29,0.44,0.5,0.44,0.28,0.32,1.0,0.4,0.44
xmoto.csv,0.58,0.53,0.59,0.65,0.62,0.42,0.41,0.55,0.59,0.51,0.58,0.52,1.0,0.57
