,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.41,0.99,0.48,0.25,0.53,0.24,0.48,0.53,0.31,0.51,0.24,0.72,0.64,0.56
customwars.csv,0.28,0.22,0.33,0.22,0.27,0.12,0.27,0.31,0.94,0.37,0.4,0.52,0.39,0.36
firebreath.csv,0.29,0.72,0.41,0.26,0.39,0.33,0.95,0.56,0.29,0.53,0.15,0.36,0.57,0.61
gss.csv,0.5,0.67,0.43,0.37,0.34,0.29,0.48,0.61,0.3,0.6,0.19,0.64,0.59,1.0
irplus.csv,0.4,0.57,0.49,0.36,0.45,0.24,0.43,0.26,0.21,0.98,0.32,0.54,0.35,0.42
kwave.csv,0.38,0.47,0.35,0.3,0.25,0.93,0.45,0.37,0.26,0.37,0.07,0.51,0.49,0.35
liferea.csv,0.31,0.47,0.36,0.18,1.0,0.14,0.21,0.47,0.25,0.45,0.0,0.54,0.31,0.43
plearn.csv,0.88,0.59,0.48,0.34,0.3,0.34,0.41,0.46,0.25,0.39,0.18,0.61,0.51,0.72
psrchive.csv,0.27,0.2,0.07,0.96,0.0,0.11,0.21,0.04,0.08,0.0,0.31,0.17,0.27,0.17
qcad2.csv,0.42,0.55,0.4,0.3,0.35,0.3,0.2,0.99,0.28,0.43,0.21,0.47,0.56,0.72
tzod.csv,0.43,0.7,0.98,0.38,0.53,0.27,0.51,0.57,0.28,0.41,0.2,0.74,0.58,0.6
wxcode.csv,0.38,0.27,0.2,0.31,0.14,0.09,0.18,0.27,0.23,0.12,0.93,0.13,0.29,0.29
xinity.csv,0.36,0.55,0.37,0.24,0.36,0.3,0.44,0.45,0.25,0.31,0.1,1.0,0.43,0.58
xmoto.csv,0.44,0.62,0.51,0.4,0.39,0.34,0.41,0.51,0.31,0.43,0.2,0.61,1.0,0.65
