,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.53,0.99,0.63,0.64,0.92,0.38,0.55,0.58,0.82,0.6,0.57,0.76,0.69,0.53
customwars.csv,0.31,0.13,0.3,0.29,0.38,0.19,0.18,0.27,0.88,0.32,0.71,0.41,0.36,0.27
firebreath.csv,0.31,0.64,0.52,0.43,0.77,0.69,0.92,0.71,0.71,0.8,0.43,0.29,0.72,0.57
gss.csv,0.63,0.59,0.56,0.64,0.62,0.44,0.6,0.73,0.76,0.72,0.71,0.68,0.67,1.0
irplus.csv,0.34,0.45,0.48,0.57,0.54,0.38,0.6,0.19,0.41,0.96,0.57,0.51,0.25,0.27
kwave.csv,0.39,0.35,0.33,0.5,0.31,0.88,0.37,0.42,0.53,0.32,0.14,0.44,0.39,0.23
liferea.csv,0.27,0.32,0.3,0.21,1.0,0.12,0.13,0.42,0.53,0.44,0.0,0.49,0.19,0.33
plearn.csv,0.78,0.51,0.7,0.36,0.46,0.69,0.5,0.42,0.41,0.52,1.0,0.59,0.67,0.83
psrchive.csv,0.17,0.12,0.04,0.93,0.0,0.06,0.13,0.02,0.06,0.0,0.29,0.1,0.17,0.1
qcad2.csv,0.47,0.42,0.44,0.57,0.77,0.5,0.13,1.0,0.41,0.44,0.86,0.37,0.67,0.73
tzod.csv,0.73,0.64,0.96,0.57,0.69,0.38,0.45,0.81,0.47,0.52,0.57,0.9,0.64,0.53
wxcode.csv,0.27,0.15,0.11,0.29,0.08,0.06,0.1,0.17,0.18,0.08,1.0,0.07,0.17,0.17
xinity.csv,0.46,0.42,0.41,0.29,0.85,0.25,0.4,0.46,0.41,0.24,0.29,1.0,0.36,0.63
xmoto.csv,0.58,0.49,0.59,0.64,0.69,0.38,0.37,0.52,0.59,0.52,0.57,0.63,1.0,0.53
