,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.64,0.29,0.53,0.7,0.27,0.3,0.44,0.84,1.0,0.24,0.68,0.81,0.44,0.49,0.15,0.64,1.0,0.63,0.65
autat.csv,0.85,0.17,0.55,0.77,0.86,0.14,0.8,0.84,0.89,1.0,0.26,0.69,0.7,0.44,0.0,1.0,0.47,0.61,0.67
brlcad.csv,0.6,1.0,0.74,0.57,0.24,0.19,0.43,0.9,0.99,0.19,0.41,0.76,0.41,0.32,0.09,0.53,0.58,0.6,0.69
delphilhlplib.csv,0.69,0.26,1.0,0.65,0.3,0.28,0.42,0.91,0.98,0.19,0.57,0.79,0.4,0.5,0.09,0.72,0.6,0.6,0.81
exordium.csv,0.76,0.26,0.76,0.81,1.0,0.41,0.43,0.85,1.0,0.14,0.75,0.79,0.69,0.37,0.2,0.79,0.5,0.62,0.0
fltk.csv,0.72,0.34,0.72,0.99,0.3,0.22,0.35,0.89,0.95,0.23,0.59,0.84,0.62,0.41,0.13,0.77,0.67,0.65,0.68
google-web-toolkit.csv,0.68,0.18,0.86,0.61,0.39,0.42,0.5,0.94,0.98,0.21,0.68,0.81,0.43,0.58,0.07,0.75,0.82,0.99,0.79
gzigzag.csv,0.83,0.28,0.83,0.76,0.0,1.0,0.5,0.88,0.91,0.6,0.78,0.84,0.73,0.67,0.17,0.64,0.91,0.61,0.8
irrlicht.csv,0.63,0.25,0.55,0.59,0.3,0.23,0.26,0.89,0.98,0.14,0.55,0.99,0.41,0.35,0.1,0.54,0.55,0.6,0.61
mimosa.csv,0.7,0.27,0.72,0.54,0.21,0.31,0.3,0.91,0.99,0.19,1.0,0.73,0.4,0.26,0.07,0.56,0.53,0.64,0.66
mptvseries.csv,0.65,0.27,0.91,0.73,0.36,0.35,1.0,0.96,0.94,0.22,0.52,0.82,0.84,0.55,0.12,0.86,0.6,0.66,0.72
ogre.csv,0.62,0.25,0.75,0.57,0.25,0.24,0.38,0.84,1.0,0.19,0.48,0.78,0.43,0.35,0.09,0.55,0.55,0.58,0.68
openfrag.csv,0.69,0.26,0.79,0.66,0.29,0.31,0.5,0.86,0.98,0.24,0.71,0.81,0.43,0.41,0.12,0.98,0.69,0.6,0.77
qdvdauthor.csv,0.45,0.27,0.77,0.52,0.24,0.41,0.35,0.86,0.98,0.1,0.43,0.78,0.75,0.4,0.05,0.55,0.53,0.64,0.98
qse.csv,0.69,0.35,0.82,0.73,0.49,0.38,0.61,0.88,0.94,0.24,0.59,0.78,1.0,0.52,0.16,0.81,0.61,0.64,0.74
sauerbraten.csv,1.0,0.28,0.88,0.71,0.47,0.5,0.7,0.89,1.0,0.33,0.44,0.73,0.75,0.48,0.19,0.69,0.67,0.71,0.6
toped.csv,0.7,0.27,0.7,0.66,0.33,0.37,0.52,0.98,0.97,0.16,0.73,0.76,0.68,0.38,0.1,0.71,0.73,0.6,0.76
truevision.csv,0.72,0.26,0.8,0.69,0.41,0.25,0.6,0.9,0.97,0.21,0.4,0.82,0.52,1.0,0.14,0.63,0.62,0.58,0.76
zoolib.csv,0.78,0.17,1.0,0.74,0.44,0.29,0.5,0.86,1.0,0.33,0.8,0.75,1.0,0.43,1.0,1.0,0.47,0.59,0.65
