,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.44,1.0,0.95,0.62,0.62,0.56,0.44,0.44,0.64,0.47,0.82,0.64,0.49,0.56,0.81,0.6,0.52,0.67,0.48
autat.csv,0.85,0.98,0.76,0.96,0.86,0.66,0.8,0.56,0.96,0.93,0.59,0.94,0.7,0.89,0.9,0.88,0.95,0.76,0.89
brlcad.csv,0.35,0.84,0.4,0.43,0.46,0.47,0.43,0.32,0.48,0.35,0.44,0.5,0.49,0.39,0.52,0.46,0.41,0.45,0.38
delphilhlplib.csv,0.31,0.47,0.42,0.67,0.48,0.43,0.5,0.45,0.68,0.42,0.66,0.56,0.47,0.58,0.49,0.52,0.51,0.46,0.44
exordium.csv,0.59,0.79,0.53,0.94,0.75,0.78,0.86,0.92,0.96,0.93,0.94,0.88,0.53,0.95,0.95,0.79,0.93,0.71,0.8
fltk.csv,0.37,0.63,0.53,0.54,0.65,0.54,0.71,0.48,0.72,0.92,0.59,0.67,0.62,0.54,0.9,0.71,0.61,0.61,0.46
google-web-toolkit.csv,0.57,0.64,0.86,0.53,0.63,0.73,0.7,0.67,0.98,0.79,0.61,0.67,0.63,0.96,0.99,0.92,0.55,0.51,0.93
gzigzag.csv,0.75,0.71,0.83,0.97,0.67,0.85,0.61,0.88,0.95,0.8,0.89,0.95,0.93,0.89,0.97,0.91,0.91,0.98,0.8
irrlicht.csv,0.35,0.48,0.71,0.62,0.46,0.63,0.61,0.37,0.47,0.93,0.55,0.5,0.45,0.42,0.57,0.45,0.66,0.52,0.45
mimosa.csv,0.45,0.45,0.45,0.72,0.62,0.46,0.61,0.48,0.63,0.44,0.54,0.63,0.45,0.57,0.59,0.59,0.64,0.46,0.56
mptvseries.csv,0.37,0.44,0.91,0.5,0.55,0.58,0.61,0.5,0.8,0.5,0.45,0.5,0.68,0.47,0.88,0.81,0.51,0.73,0.48
ogre.csv,0.33,0.45,0.38,0.42,0.41,0.38,0.36,0.33,0.43,0.35,0.35,0.44,0.43,0.38,0.48,0.43,0.39,0.39,0.37
openfrag.csv,0.33,0.57,0.48,0.58,0.45,0.51,0.42,0.36,0.74,0.48,0.48,0.59,0.41,0.47,0.66,0.53,0.56,0.49,0.52
qdvdauthor.csv,0.7,0.54,0.92,0.57,0.6,0.94,0.61,0.34,0.52,0.81,0.63,0.49,0.88,0.4,0.57,0.57,0.5,0.63,0.44
qse.csv,0.33,0.51,0.4,0.55,0.51,0.51,0.43,0.31,0.88,0.64,0.62,0.52,0.52,0.41,0.78,0.56,0.59,0.51,0.41
sauerbraten.csv,0.39,0.73,0.88,0.65,0.65,0.73,0.8,0.72,0.94,0.67,0.88,0.88,0.92,0.76,0.98,0.88,0.75,0.98,0.9
toped.csv,0.36,0.4,0.54,0.64,0.51,0.54,0.44,0.33,0.42,0.4,0.51,0.53,0.48,0.62,0.54,0.52,0.59,0.59,0.36
truevision.csv,0.35,0.5,0.48,0.58,0.53,0.42,0.67,0.36,0.56,0.5,0.44,0.71,0.58,0.59,0.8,0.44,0.56,0.52,0.65
zoolib.csv,0.67,1.0,0.5,0.98,0.89,0.94,0.5,0.86,0.98,0.67,0.8,0.99,0.67,0.86,0.96,0.67,0.95,0.96,0.95
