,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.52,0.13,0.14,0.8,0.12,0.15,0.83,0.37,0.4,0.89,0.15,0.11,0.09,0.65,0.38,0.57,0.0
arm-webradio.csv,0.39,0.12,0.14,0.57,0.28,0.15,0.72,0.5,0.42,0.81,0.08,0.27,0.14,0.5,0.61,0.48,0.64
codepurge.csv,0.48,0.18,0.11,0.92,0.22,0.24,1.0,0.28,0.5,0.94,0.21,0.21,0.33,0.37,0.69,0.52,0.35
fw4spl.csv,0.33,0.27,0.27,0.81,0.13,0.4,0.91,0.18,0.5,0.92,0.07,0.24,0.22,0.56,0.76,0.57,0.73
glas.csv,0.39,0.2,0.14,0.83,0.15,0.22,0.86,0.38,0.55,0.92,0.07,0.24,0.17,0.49,0.79,0.5,0.29
grisbi.csv,0.33,0.13,0.16,0.84,0.15,0.2,0.98,0.38,0.41,0.92,0.07,0.22,0.15,0.4,0.5,0.48,0.35
gwanted.csv,0.67,0.23,0.21,0.94,0.38,0.33,0.93,0.19,0.4,0.91,0.23,0.25,0.28,0.6,0.69,0.62,0.38
lcfizvtop.csv,0.34,0.16,0.1,0.84,0.19,0.47,0.86,0.2,0.57,0.98,0.06,0.23,0.14,0.35,0.76,0.47,0.69
ldview.csv,0.52,0.12,0.14,0.85,0.19,0.15,0.84,0.41,0.4,0.9,0.1,0.19,0.18,0.49,0.53,0.67,0.26
libmesh.csv,0.42,0.08,0.16,0.66,0.12,0.2,0.74,0.5,0.35,0.88,0.0,0.09,0.0,0.44,0.53,0.4,0.72
mediaportal.csv,1.0,0.15,0.25,1.0,0.35,0.17,1.0,0.75,0.33,1.0,0.2,0.34,0.33,0.56,1.0,0.61,0.68
olex2.csv,0.0,0.16,0.17,1.0,0.33,0.21,0.94,0.25,0.57,0.88,0.29,0.3,0.14,0.57,0.78,0.7,0.38
oppna-program-hsatools.csv,0.44,0.11,0.13,0.97,0.19,0.16,0.92,0.27,0.52,0.92,0.15,0.2,0.19,0.39,0.42,0.63,0.1
qlc.csv,0.5,0.17,0.21,0.94,0.32,0.2,1.0,0.32,0.43,0.94,0.16,0.24,0.26,0.44,0.81,0.55,0.0
somap.csv,0.36,0.13,0.12,0.84,0.15,0.19,0.9,0.35,0.42,1.0,0.06,0.19,0.14,0.37,0.51,0.45,0.27
wxcode.csv,0.71,0.15,0.18,1.0,0.26,0.24,0.98,0.35,0.43,0.92,0.3,0.26,0.33,0.76,0.62,0.76,0.11
xcf.csv,0.43,0.17,0.19,0.81,0.19,0.17,0.86,0.4,0.46,0.98,0.16,0.25,0.15,0.54,0.73,0.55,0.09
