,guineu.csv,pokeglobal.csv,graphmak.csv,pdfedit.csv,jhotdraw.csv,red5.csv,cascading.csv,twostep.csv,ofbiz.csv
cascading.csv,0.43,0.45,0.72,0.53,0.62,0.41,0.45,0.07,0.57
graphmak.csv,0.55,0.66,0.2,0.72,0.49,0.17,0.55,0.07,0.28
guineu.csv,0.34,0.31,0.2,0.19,0.58,0.28,0.24,0.09,0.36
jhotdraw.csv,0.71,0.97,0.74,0.58,0.14,0.76,0.76,0.64,0.66
ofbiz.csv,0.43,0.34,0.5,0.53,0.48,0.34,0.36,0.73,0.34
pdfedit.csv,0.69,0.48,0.59,0.33,0.53,0.72,0.73,0.33,0.37
pokeglobal.csv,0.72,0.28,0.54,0.98,0.95,1.0,0.48,0.38,0.35
red5.csv,0.88,0.83,0.83,0.88,0.95,0.34,0.7,0.29,0.81
twostep.csv,0.91,0.45,0.61,0.51,0.63,0.59,0.45,0.16,0.57
