,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.33,1.0,1.0,0.0,0.5,0.38,0.0,0.11,0.24,0.18,0.03,0.0,0.0,0.67,0.0,0.08,0.55,0.46,0.21,0.5
baadengine.csv,1.0,0.03,0.97,0.02,0.67,0.26,0.49,0.31,0.22,0.5,0.13,0.05,0.23,0.58,0.18,0.1,0.84,0.46,0.62,1.0
bibedt.csv,0.86,0.0,1.0,0.0,0.73,0.43,1.0,0.45,0.34,1.0,0.35,0.0,1.0,0.86,0.55,0.07,0.8,0.64,0.43,1.0
cascading.csv,0.8,0.02,0.97,0.03,0.77,0.31,0.29,0.3,0.21,0.49,0.21,0.04,0.2,0.66,0.24,0.13,0.98,0.5,0.53,0.97
dataobjectsdotnet.csv,0.81,0.02,0.94,0.04,0.85,0.24,0.31,0.27,0.17,0.31,0.11,0.0,0.21,0.53,0.14,0.12,0.75,0.99,0.41,0.82
exl.csv,0.86,0.04,0.97,0.02,0.69,0.34,0.34,0.27,0.2,0.44,0.13,0.06,0.22,0.64,0.2,0.1,0.86,0.45,0.51,1.0
gogoego.csv,0.82,0.12,1.0,0.0,0.69,0.41,0.27,1.0,0.26,0.45,0.06,0.06,0.17,0.38,0.21,0.1,0.95,0.36,0.32,0.56
httpcontentparser.csv,0.82,0.0,1.0,0.0,0.2,0.21,0.12,0.24,0.14,0.25,1.0,0.0,0.25,0.62,0.29,0.22,0.75,0.4,0.28,0.57
impala.csv,0.74,0.09,1.0,0.01,0.53,0.29,0.29,0.23,0.17,0.27,0.13,0.12,0.15,0.61,0.06,1.0,0.73,0.4,0.32,0.5
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.79,0.0,1.0,0.0,0.67,1.0,0.33,0.24,0.12,0.5,0.07,0.08,0.0,1.0,0.37,0.13,0.88,0.43,0.4,0.0
jhotdraw.csv,0.68,0.0,1.0,0.0,0.48,0.21,0.67,0.27,0.98,0.27,0.24,0.0,0.25,0.61,0.21,0.0,0.83,0.44,0.28,0.33
loki-lib.csv,0.83,0.02,0.97,0.02,0.81,0.28,0.32,0.31,0.22,0.55,0.12,0.05,0.17,0.52,0.21,0.13,0.79,0.41,0.97,1.0
patterntesting.csv,0.9,0.0,0.96,0.03,0.67,0.18,0.62,0.31,0.21,0.96,0.15,0.06,0.25,0.65,0.2,0.08,0.83,0.48,0.63,0.97
pokeglobal.csv,0.77,0.08,0.98,0.02,1.0,0.3,0.39,0.27,0.17,0.43,0.08,0.04,0.2,0.57,0.16,0.12,0.79,0.41,0.46,0.74
snakeyaml.csv,0.84,0.14,0.99,0.0,0.57,0.34,0.3,0.3,0.2,0.39,0.11,0.04,0.21,0.71,1.0,0.13,0.74,0.48,0.34,0.83
unflobtactical.csv,0.74,0.0,1.0,0.0,0.71,0.57,0.52,0.47,0.17,0.48,0.11,0.25,0.33,1.0,0.23,0.07,0.83,0.42,0.35,0.88
werx.csv,0.75,0.07,1.0,0.01,0.59,0.29,0.31,0.25,0.18,0.39,0.1,0.04,0.2,0.57,0.13,0.12,0.78,0.44,0.39,0.75
zealos.csv,0.74,0.0,0.97,0.02,0.63,0.43,1.0,0.27,0.22,0.5,0.14,0.09,0.22,0.7,0.15,0.12,0.79,0.47,0.39,1.0
