,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.21,0.0,0.0,0.29,0.17,0.41,0.21,0.07,0.06,0.19,0.2,0.0,0.07,0.08,0.15,0.07,0.15,0.24,0.24,0.62
baadengine.csv,0.01,0.57,1.0,0.42,0.45,0.32,0.37,0.58,0.63,0.47,0.46,0.79,0.59,0.73,0.61,0.68,0.45,0.51,0.17,0.0
bibedt.csv,0.06,0.02,0.0,0.14,0.1,0.06,0.0,0.09,0.08,0.0,0.1,0.06,0.0,0.08,0.03,0.07,0.06,0.08,0.09,0.0
cascading.csv,0.25,0.68,0.75,0.38,0.24,0.35,0.22,0.4,0.5,0.55,0.34,0.5,0.59,0.42,0.31,0.64,0.06,0.36,0.2,0.08
dataobjectsdotnet.csv,0.55,0.69,1.0,0.27,0.07,0.21,0.96,0.32,0.17,0.89,0.34,0.21,0.56,0.35,0.24,0.47,0.39,0.01,0.35,0.54
exl.csv,0.3,0.71,1.0,0.63,0.55,0.49,0.76,0.75,0.59,0.74,0.66,0.71,0.44,0.62,0.46,0.78,0.52,0.43,0.37,0.0
gogoego.csv,0.37,0.34,0.0,0.22,0.14,0.16,0.9,0.0,0.18,0.13,0.3,0.31,0.46,0.19,0.15,0.1,0.03,0.19,0.46,0.62
httpcontentparser.csv,0.05,0.06,0.0,0.05,0.28,0.3,0.62,0.06,0.17,0.19,0.0,0.06,0.29,0.19,0.06,0.04,0.03,0.16,0.63,0.23
impala.csv,0.23,0.77,0.0,0.94,0.93,0.94,0.96,0.88,0.86,0.23,0.58,0.15,0.68,0.69,0.08,0.0,0.82,0.81,0.89,0.62
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.05,0.03,0.0,0.22,0.1,0.0,0.06,0.39,0.16,0.06,0.15,0.25,0.1,0.0,0.07,0.15,0.06,0.07,0.07,0.0
jhotdraw.csv,0.25,0.0,0.0,0.12,0.41,0.3,0.03,0.16,0.0,0.23,0.11,0.06,0.07,0.27,0.06,0.03,0.03,0.46,0.46,0.46
loki-lib.csv,0.53,0.6,0.5,0.47,0.21,0.44,0.87,0.47,0.65,0.36,0.5,0.81,0.73,0.73,0.42,0.76,0.45,0.53,0.02,0.0
patterntesting.csv,0.19,0.57,1.0,0.38,0.48,0.52,0.16,0.52,0.63,0.02,0.44,0.67,0.37,0.54,0.37,0.56,0.39,0.37,0.15,0.08
pokeglobal.csv,0.82,0.68,0.5,0.53,0.0,0.59,0.49,0.64,0.8,0.57,0.67,0.94,0.78,0.88,0.68,0.7,0.79,0.56,0.3,0.46
snakeyaml.csv,0.14,0.37,0.25,0.71,0.59,0.67,0.99,0.34,0.45,0.47,0.55,0.48,0.27,0.31,0.0,0.22,0.36,0.56,0.89,0.54
unflobtactical.csv,0.37,0.17,0.0,0.12,0.07,0.05,0.18,0.07,0.07,0.23,0.54,0.12,0.2,0.0,0.06,0.15,0.06,0.08,0.24,0.15
werx.csv,1.0,0.97,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
zealos.csv,0.5,0.4,1.0,0.43,0.59,0.25,0.0,0.64,0.47,0.47,0.45,0.42,0.78,0.35,0.44,0.57,0.58,0.55,0.43,0.0
