,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.69,0.62,0.7,0.34,0.78,0.63,0.95
emulemorph.csv,0.84,0.75,0.56,0.56,1.0,0.94,0.32
htmlunit.csv,0.81,0.88,0.56,0.69,0.82,0.41,0.54
jvcl.csv,0.9,0.5,0.49,0.54,0.92,0.8,0.6
m-m-m.csv,0.71,0.62,0.91,0.92,0.44,0.93,1.0
nh3d.csv,0.62,0.01,1.0,1.0,1.0,0.72,1.0
wgs-assembler.csv,0.59,0.84,0.94,0.73,0.92,0.54,0.65
