,id,expected,max_bell,avge,median,bellwether,size
48,2,0,1,1.0,0.49,mclient-mume.csv,2
44,3,2,4,2.0,0.605,chrysalis.csv,10
43,4,2,4,2.31,0.6,opendvr.csv,13
50,5,2,6,2.29,0.58,primefaces.csv,14
19,6,3,4,1.95,0.595,javaprofiler.csv,20
15,7,2,4,2.33,0.6,joustsim.csv,12
24,8,1,3,1.25,0.59,projectfactory.csv,8
22,10,0,1,1.0,0.76,atunes.csv,1
14,11,1,3,1.83,0.65,gpsmid.csv,6
49,13,2,1,1.3,0.615,ngl.csv,10
51,14,1,2,1.0,0.6,yafdotnet.csv,5
17,16,3,10,4.17,0.66,xemeiah.csv,18
21,17,0,3,2.33,0.69,mob-sen-plat.csv,3
12,18,2,4,1.5,0.615,lphant.csv,12
52,22,0,1,1.0,0.7150000000000001,jajuk.csv,2
42,23,2,5,2.15,0.5700000000000001,jaxen.csv,14
41,24,1,3,2.67,0.63,elateportal.csv,9
53,25,2,3,1.4,0.54,sabbu.csv,10
23,26,3,10,2.4,0.655,gss.csv,20
13,27,2,7,2.8,0.64,lmms.csv,15
20,28,3,4,2.19,0.605,auber.csv,16
16,29,3,10,3.29,0.665,google-caja.csv,18
33,30,3,9,3.39,0.64,qtractor.csv,18
29,31,1,4,2.33,0.6799999999999999,personalaccess.csv,6
4,32,0,1,0.5,0.565,raygina.csv,2
11,33,2,7,3.0,0.65,psycle.csv,15
10,34,3,11,4.94,0.715,jmule.csv,16
5,35,3,6,3.25,0.63,acdk.csv,20
28,36,2,3,1.92,0.525,dynalloy.csv,12
34,37,1,4,1.43,0.66,pokeglobal.csv,7
27,38,3,9,3.39,0.665,nativeclient.csv,18
35,39,3,5,2.7,0.605,gstreamer.csv,20
46,40,0,1,0.67,0.65,gdis.csv,3
39,41,1,3,2.33,0.66,libtorrent.csv,6
26,43,2,4,2.0,0.56,openwbem.csv,17
25,44,1,4,1.33,0.59,glas.csv,9
18,45,1,2,1.14,0.63,loki-lib.csv,7
38,46,1,1,1.33,0.535,wxlua.csv,6
47,47,3,11,5.1,0.67,galaxium.csv,20
40,48,2,0,0.77,0.5,lamp.csv,13
45,49,0,1,0.5,0.615,ambulant.csv,2
2,50,2,3,1.82,0.64,opensim4opencog.csv,11
7,51,1,2,1.78,0.59,carabiner.csv,9
36,52,2,2,1.8,0.5549999999999999,xfce.csv,10
32,53,2,3,1.27,0.55,kdenlive.csv,15
31,54,2,5,1.86,0.635,dvd-create.csv,14
37,55,0,1,1.0,0.6599999999999999,alleg.csv,2
6,56,2,4,1.33,0.5,atlc.csv,15
3,57,2,6,2.4,0.595,echongl.csv,16
8,58,2,4,1.75,0.585,ipfilter.csv,12
1,59,3,5,2.06,0.605,hazelcast.csv,18
9,60,3,3,2.37,0.57,n2cms.csv,19
0,61,1,1,1.25,0.53,anaxagora.csv,9
30,62,3,5,2.75,0.61,pnotepad.csv,20
